Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
2.3646,baixo,99.02,0.45,0.94998,(3 out of 5)
3.4646,moderado,98.57,1.09,1.1,(3 out of 5)
6.16464,alto,97.48,0.79,2.70004,(3 out of 5)
8.11546,moderado,96.69,0.53,1.95082,(3 out of 5)
9.41454,alto,96.16,0.17,1.29908,(3 out of 5)
9.81457,moderado,95.99,3.09,0.40003,(3 out of 5)
17.5146,alto,92.9,0.35,7.70003,(3 out of 5)
18.3646,moderado,92.55,0.13,0.85004,(3 out of 5)
18.6646,alto,92.42,0.95,0.29996,(3 out of 5)
21.0145,moderado,91.47,1.57,2.3499,(3 out of 5)
24.9153,alto,89.9,0.55,3.90084,(3 out of 5)
26.2648,moderado,89.35,1.21,1.34942,(3 out of 5)
29.2647,alto,88.14,0.31,2.99998,(3 out of 5)
30.0146,moderado,87.83,0.23,0.74985,(3 out of 5)
30.5645,baixo,87.6,0.53,0.54994,(3 out of 5)
31.8646,moderado,87.07,0.11,1.30003,(3 out of 5)
32.1146,baixo,86.96,0.45,0.25003,(3 out of 5)
33.2153,moderado,86.51,0.83,1.10075,(3 out of 5)
35.2646,baixo,85.68,1.05,2.04929,(3 out of 5)
37.8646,moderado,84.63,3.05,2.59992,(3 out of 5)
45.4646,baixo,81.58,0.33,7.60002,(3 out of 5)
46.2645,moderado,81.25,1.27,0.79994,(3 out of 5)
49.4146,baixo,79.98,0.03,3.15007,(3 out of 5)
49.4647,moderado,79.95,1.45,0.05011,(3 out of 5)
53.0645,alto,78.5,0.67,3.59981,(3 out of 5)
54.7145,moderado,77.83,0.05,1.65001,(3 out of 5)
54.8153,alto,77.78,0.03,0.10074,(3 out of 5)
54.8645,moderado,77.75,0.03,0.04926,(3 out of 5)
54.9153,alto,77.72,0.33,0.05079,(3 out of 5)
55.7145,moderado,77.39,0.43,0.79918,(3 out of 5)
56.7645,baixo,76.96,0.61,1.05,(3 out of 5)
58.2646,moderado,76.35,0.41,1.50015,(3 out of 5)
59.2646,alto,75.94,0.39,1.00001,(3 out of 5)
60.2146,moderado,75.55,0.13,0.94998,(3 out of 5)
60.5146,baixo,75.42,0.51,0.3,(3 out of 5)
61.7646,moderado,74.91,0.61,1.24998,(3 out of 5)
63.2644,baixo,74.3,0.29,1.49979,(3 out of 5)
63.9645,moderado,74.01,0.27,0.70011,(3 out of 5)
64.6146,alto,73.74,0.03,0.65006,(3 out of 5)
64.6646,moderado,73.71,2.29,0.05006,(3 out of 5)
70.3645,baixo,71.42,1.23,5.69988,(3 out of 5)
73.4145,moderado,70.19,0.27,3.05004,(3 out of 5)
74.0646,alto,69.92,1.07,0.65009,(3 out of 5)
76.7146,moderado,68.85,0.87,2.64998,(3 out of 5)
78.8646,alto,67.98,0.05,2.15001,(3 out of 5)
78.9653,moderado,67.93,0.59,0.10064,(3 out of 5)
80.4158,alto,67.34,0.29,1.45049,(3 out of 5)
81.1145,moderado,67.05,0.45,0.69879,(3 out of 5)
82.2146,alto,66.6,0.19,1.10003,(3 out of 5)
82.6646,moderado,66.41,0.03,0.44998,(3 out of 5)
82.7153,alto,66.38,0.49,0.05079,(3 out of 5)
83.9146,moderado,65.89,0.53,1.19927,(3 out of 5)
85.2146,baixo,65.36,0.29,1.29998,(3 out of 5)
85.9146,moderado,65.07,1.15,0.69999,(3 out of 5)
88.7646,alto,63.92,0.49,2.85,(3 out of 5)
89.9647,moderado,63.43,1.35,1.20008,(3 out of 5)
93.3145,baixo,62.08,0.07,3.34986,(3 out of 5)
93.4646,moderado,62.01,0.13,0.15009,(3 out of 5)
93.7646,baixo,61.88,0.29,0.30001,(3 out of 5)
94.4645,moderado,61.59,0.91,0.69985,(3 out of 5)
96.7146,alto,60.68,0.09,2.25007,(3 out of 5)
96.9146,moderado,60.59,4.65,0.19999,(3 out of 5)
109,baixo,55.94,0.05,11.6,(3 out of 5)
109,moderado,55.89,0.05,0.10077,(3 out of 5)
109,baixo,55.84,0.03,0.10075,(3 out of 5)
109,moderado,55.81,0.13,0.04856,(3 out of 5)
109,baixo,55.68,0.09,0.30085,(3 out of 5)
109,moderado,55.59,0.21,0.19908,(3 out of 5)
110,alto,55.38,0.13,0.5001,(3 out of 5)
110,moderado,55.25,0.61,0.29987,(3 out of 5)
112,alto,54.64,0.05,1.49998,(3 out of 5)
112,moderado,54.59,0.73,0.10076,(3 out of 5)
113,alto,53.86,0.03,1.79932,(3 out of 5)
114,moderado,53.83,0.09,0.05005,(3 out of 5)
114,baixo,53.74,0.27,0.19999,(3 out of 5)
114,moderado,53.47,0.39,0.6499,(3 out of 5)
115,baixo,53.08,1.11,0.95008,(3 out of 5)
118,moderado,51.97,0.19,2.74985,(3 out of 5)
119,baixo,51.78,0.03,0.45005,(3 out of 5)
119,moderado,51.75,0.09,0.05063,(3 out of 5)
119,alto,51.66,0.31,0.19932,(3 out of 5)
120,moderado,51.35,0.03,0.75009,(3 out of 5)
120,alto,51.32,0.93,0.04993,(3 out of 5)
122,moderado,50.39,0.35,2.30012,(3 out of 5)
123,alto,50.04,0.03,0.84997,(3 out of 5)
123,moderado,50.01,0.03,0.05,(3 out of 5)
123,alto,49.98,0.37,0.05076,(3 out of 5)
124,moderado,49.61,0.07,0.89921,(3 out of 5)
124,baixo,49.54,0.15,0.15094,(3 out of 5)
124,moderado,49.39,0.73,0.3491,(3 out of 5)
126,alto,48.66,0.21,1.80006,(3 out of 5)
127,moderado,48.45,1.25,0.49995,(3 out of 5)
130,baixo,47.2,0.59,3.10004,(3 out of 5)
131,moderado,46.61,0.89,1.4517,(3 out of 5)
133,baixo,45.72,1.01,2.19827,(3 out of 5)
136,moderado,44.71,0.05,2.49989,(3 out of 5)
136,alto,44.66,0.41,0.1007,(3 out of 5)
137,moderado,44.25,0.15,0.99941,(3 out of 5)
137,alto,44.1,0.15,0.34999,(3 out of 5)
138,moderado,43.95,0.05,0.35003,(3 out of 5)
138,alto,43.9,0.37,0.10073,(3 out of 5)
139,moderado,43.53,0.63,0.89923,(3 out of 5)
140,baixo,42.9,0.11,1.54999,(3 out of 5)
140,moderado,42.79,0.49,0.25011,(3 out of 5)
142,baixo,42.3,0.03,1.19998,(3 out of 5)
142,moderado,42.27,0.79,0.04991,(3 out of 5)
144,alto,41.48,0.69,1.94989,(3 out of 5)
145,moderado,40.79,0.17,1.70009,(3 out of 5)
146,baixo,40.62,0.31,0.39998,(3 out of 5)
146,moderado,40.31,0.11,0.74998,(3 out of 5)
147,baixo,40.2,0.37,0.25002,(3 out of 5)
148,moderado,39.83,0.57,0.90013,(3 out of 5)
149,alto,39.26,0.27,1.39984,(3 out of 5)
150,moderado,38.99,0.03,0.65005,(3 out of 5)
150,alto,38.96,0.93,0.05002,(3 out of 5)
152,moderado,38.03,1.01,2.29998,(3 out of 5)
154,alto,37.02,0.27,2.50002,(3 out of 5)
155,moderado,36.75,1.11,0.64989,(3 out of 5)
158,baixo,35.64,0.03,2.75006,(3 out of 5)
158,moderado,35.61,0.21,0.04999,(3 out of 5)
158,baixo,35.4,0.17,0.50001,(3 out of 5)
159,moderado,35.23,0.41,0.39994,(3 out of 5)
160,alto,34.82,1.21,0.99992,(3 out of 5)
163,moderado,33.61,1.55,3.00022,(3 out of 5)
167,baixo,32.06,0.43,3.84988,(3 out of 5)
168,moderado,31.63,0.15,1.04985,(3 out of 5)
168,baixo,31.48,0.55,0.35016,(3 out of 5)
169,moderado,30.93,0.15,1.35011,(3 out of 5)
170,baixo,30.78,0.27,0.35,(3 out of 5)
170,moderado,30.51,1.49,0.64995,(3 out of 5)
174,alto,29.02,0.31,3.70002,(3 out of 5)
175,moderado,28.71,0.69,0.74989,(3 out of 5)
177,alto,28.02,0.31,1.70015,(3 out of 5)
177,moderado,27.71,1.47,0.75004,(3 out of 5)
181,baixo,26.24,0.05,3.65001,(3 out of 5)
181,moderado,26.19,0.45,0.10078,(3 out of 5)
182,alto,25.74,1.01,1.09914,(3 out of 5)
185,moderado,24.73,0.19,2.49998,(3 out of 5)
185,alto,24.54,1.59,0.45079,(3 out of 5)
189,moderado,22.95,0.05,3.9493,(3 out of 5)
189,alto,22.9,0.05,0.10077,(3 out of 5)
189,moderado,22.85,0.29,0.09997,(3 out of 5)
190,baixo,22.56,0.09,0.69921,(3 out of 5)
190,moderado,22.47,0.87,0.20009,(3 out of 5)
192,baixo,21.6,0.11,2.14982,(3 out of 5)
193,moderado,21.49,2.49,0.25012,(3 out of 5)
199,baixo,19,0.37,6.20001,(3 out of 5)
200,moderado,18.63,0.43,0.89997,(3 out of 5)
201,baixo,18.2,0.29,1.04982,(3 out of 5)
201,moderado,17.91,2.23,0.70017,(3 out of 5)
207,alto,15.68,0.37,5.54994,(3 out of 5)
208,moderado,15.31,1.03,0.89999,(3 out of 5)
210,baixo,14.28,0.59,2.55088,(3 out of 5)
212,moderado,13.69,1.67,1.44917,(3 out of 5)
216,alto,12.02,0.81,4.14994,(3 out of 5)
218,moderado,11.21,1.09,1.99998,(3 out of 5)
221,baixo,10.12,1.21,2.69997,(3 out of 5)
224,moderado,8.91,0.35,3.00009,(3 out of 5)
225,baixo,8.56,0.03,0.84997,(3 out of 5)
225,moderado,8.53,0.51,0.04994,(3 out of 5)
226,alto,8.02,0.27,1.25016,(3 out of 5)
227,moderado,7.75,0.03,0.64997,(3 out of 5)
227,alto,7.72,0.05,0.05003,(3 out of 5)
227,moderado,7.67,2.81,0.1008,(3 out of 5)
234,baixo,4.86,0.27,6.9992,(3 out of 5)
234,moderado,4.59,0.21,0.64999,(3 out of 5)
235,alto,4.38,1.47,0.49996,(3 out of 5)
238,moderado,2.91,1.33,3.65013,(3 out of 5)
242,alto,1.58,0.37,3.29999,(3 out of 5)
243,moderado,1.21,2.07,0.89993,(3 out of 5)
248,baixo,-0.86,0.15,5.15001,(3 out of 5)
248,moderado,-1.01,0.11,0.34992,(3 out of 5)
248,alto,-1.12,0.15,0.24986,(3 out of 5)
249,moderado,-1.27,1.37,0.35211,(3 out of 5)
252,alto,-2.64,0.15,3.39818,(3 out of 5)
253,moderado,-2.79,0.71,0.34987,(3 out of 5)
254,baixo,-3.5,0.29,1.75008,(3 out of 5)
255,moderado,-3.79,0.07,0.69982,(3 out of 5)
255,baixo,-3.86,0.03,0.1501,(3 out of 5)
255,moderado,-3.89,0.61,0.05005,(3 out of 5)
257,baixo,-4.5,0.45,1.49992,(3 out of 5)
258,moderado,-4.95,1.31,1.1001,(3 out of 5)
261,baixo,-6.26,0.03,3.25078,(3 out of 5)
261,moderado,-6.29,0.39,0.04924,(3 out of 5)
262,baixo,-6.68,0.59,0.94994,(3 out of 5)
263,moderado,-7.27,0.59,1.44992,(3 out of 5)
265,alto,-7.86,0.73,1.45007,(3 out of 5)
267,moderado,-8.59,0.03,1.79995,(3 out of 5)
267,alto,-8.62,1.25,0.05006,(3 out of 5)
270,moderado,-9.87,0.85,3.09996,(3 out of 5)
272,baixo,-10.72,0.61,2.10002,(3 out of 5)
273,moderado,-11.33,0.03,1.50005,(3 out of 5)
274,baixo,-11.36,0.11,0.05,(3 out of 5)
274,moderado,-11.47,0.19,0.24998,(3 out of 5)
274,baixo,-11.66,0.39,0.44998,(3 out of 5)
275,moderado,-12.05,0.31,0.95006,(3 out of 5)
276,alto,-12.36,0.17,0.75073,(3 out of 5)
276,moderado,-12.53,1.51,0.39922,(3 out of 5)
280,alto,-14.04,0.03,3.74996,(3 out of 5)
280,moderado,-14.07,1.43,0.05009,(3 out of 5)
284,baixo,-15.5,0.29,3.55069,(3 out of 5)
284,moderado,-15.79,0.49,0.69935,(3 out of 5)
286,baixo,-16.28,0.73,1.2,(3 out of 5)
287,moderado,-17.01,0.07,1.80064,(3 out of 5)
288,baixo,-17.08,0.25,0.14936,(3 out of 5)
288,moderado,-17.33,0.25,0.5999,(3 out of 5)
289,baixo,-17.58,0.87,0.59995,(3 out of 5)
291,moderado,-18.45,0.41,2.1501,(3 out of 5)
292,baixo,-18.86,0.15,1.00004,(3 out of 5)
292,moderado,-19.01,0.57,0.34994,(3 out of 5)
294,alto,-19.58,1.71,1.40003,(3 out of 5)
298,moderado,-21.29,0.97,4.25006,(3 out of 5)
300,baixo,-22.26,0.03,2.39997,(3 out of 5)
300,moderado,-22.29,0.63,0.05081,(3 out of 5)
302,baixo,-22.92,1.37,1.5492,(3 out of 5)
305,moderado,-24.29,0.09,3.40002,(3 out of 5)
305,alto,-24.38,0.11,0.20059,(3 out of 5)
306,moderado,-24.49,0.31,0.24937,(3 out of 5)
306,baixo,-24.8,0.41,0.74998,(3 out of 5)
307,moderado,-25.21,0.51,0.99996,(3 out of 5)
309,alto,-25.72,0.31,1.25002,(3 out of 5)
309,moderado,-26.03,0.19,0.75002,(3 out of 5)
310,baixo,-26.22,0.11,0.44996,(3 out of 5)
310,moderado,-26.33,0.77,0.25001,(3 out of 5)
312,baixo,-27.1,0.33,1.89988,(3 out of 5)
313,moderado,-27.43,0.11,0.80017,(3 out of 5)
313,alto,-27.54,0.43,0.24987,(3 out of 5)
314,moderado,-27.97,1.93,1.05004,(3 out of 5)
319,baixo,-29.9,0.65,4.79993,(3 out of 5)
321,moderado,-30.55,1.31,1.60013,(3 out of 5)
324,alto,-31.86,0.71,3.25,(3 out of 5)
326,moderado,-32.57,1.55,1.75007,(3 out of 5)
329,alto,-34.12,0.15,3.84991,(3 out of 5)
330,moderado,-34.27,0.77,0.3502,(3 out of 5)
332,baixo,-35.04,0.07,1.89989,(3 out of 5)
332,moderado,-35.11,0.03,0.15,(3 out of 5)
332,baixo,-35.14,0.77,0.05003,(3 out of 5)
334,moderado,-35.91,0.77,1.89994,(3 out of 5)
336,baixo,-36.68,0.37,1.8999,(3 out of 5)
337,moderado,-37.05,1.37,0.90009,(3 out of 5)
340,alto,-38.42,0.15,3.40004,(3 out of 5)
340,moderado,-38.57,0.93,0.34989,(3 out of 5)
343,alto,-39.5,1.23,2.30084,(3 out of 5)
346,moderado,-40.73,1.25,3.04919,(3 out of 5)
349,alto,-41.98,1.23,3.10005,(3 out of 5)
352,moderado,-43.21,0.95,3.05004,(3 out of 5)
354,alto,-44.16,0.29,2.34996,(3 out of 5)
355,moderado,-44.45,0.47,0.69999,(3 out of 5)
356,alto,-44.92,0.05,1.14997,(3 out of 5)
356,moderado,-44.97,0.47,0.10075,(3 out of 5)
357,alto,-45.44,0.25,1.14928,(3 out of 5)
358,moderado,-45.69,0.43,0.60005,(3 out of 5)
359,baixo,-46.12,0.33,1.04992,(3 out of 5)
360,moderado,-46.45,0.03,0.79996,(3 out of 5)
360,baixo,-46.48,0.07,0.04992,(3 out of 5)
360,moderado,-46.55,0.41,0.15016,(3 out of 5)
361,baixo,-46.96,1.25,1.00001,(3 out of 5)
364,moderado,-48.21,0.85,3.09997,(3 out of 5)
366,alto,-49.06,0.83,2.10003,(3 out of 5)
368,moderado,-49.89,0.21,2.05008,(3 out of 5)
369,alto,-50.1,0.61,0.50069,(3 out of 5)
370,moderado,-50.71,0.03,1.49916,(3 out of 5)
370,alto,-50.74,0.29,0.05,(3 out of 5)
371,moderado,-51.03,0.41,0.70076,(3 out of 5)
372,baixo,-51.44,0.35,0.99929,(3 out of 5)
373,moderado,-51.79,0.13,0.85005,(3 out of 5)
373,alto,-51.92,0.17,0.2999,(3 out of 5)
373,moderado,-52.09,0.41,0.40007,(3 out of 5)
374,alto,-52.5,1.03,0.99994,(3 out of 5)
377,moderado,-53.53,0.05,2.54996,(3 out of 5)
377,alto,-53.58,0.37,0.10076,(3 out of 5)
378,moderado,-53.95,4.07,0.89939,(3 out of 5)
388,baixo,-58.02,0.13,10.1499,(3 out of 5)
388,moderado,-58.15,0.03,0.30006,(3 out of 5)
389,baixo,-58.18,0.31,0.05003,(3 out of 5)
389,moderado,-58.49,1.05,0.74998,(3 out of 5)
392,baixo,-59.54,0.39,2.5999,(3 out of 5)
393,moderado,-59.93,0.87,0.94993,(3 out of 5)
395,baixo,-60.8,0.25,2.15004,(3 out of 5)
396,moderado,-61.05,0.89,0.60011,(3 out of 5)
398,baixo,-61.94,0.55,2.20002,(3 out of 5)
399,moderado,-62.49,0.05,1.3507,(3 out of 5)
399,baixo,-62.54,0.03,0.09999,(3 out of 5)
399,moderado,-62.57,1.31,0.04921,(3 out of 5)
403,alto,-63.88,0.11,3.2501,(3 out of 5)
403,moderado,-63.99,0.81,0.24997,(3 out of 5)
405,baixo,-64.8,0.15,1.99998,(3 out of 5)
405,moderado,-64.95,0.57,0.34998,(3 out of 5)
407,baixo,-65.52,0.07,1.40077,(3 out of 5)
407,moderado,-65.59,0.11,0.14929,(3 out of 5)
407,alto,-65.7,0.75,0.25001,(3 out of 5)
409,moderado,-66.45,0.03,1.8499,(3 out of 5)
409,alto,-66.48,0.89,0.04992,(3 out of 5)
411,moderado,-67.37,0.57,2.20008,(3 out of 5)
412,alto,-67.94,0.47,1.4001,(3 out of 5)
414,moderado,-68.41,0.41,1.14994,(3 out of 5)
415,alto,-68.82,0.37,1.00007,(3 out of 5)
415,moderado,-69.19,0.63,0.89992,(3 out of 5)
417,baixo,-69.82,0.07,1.5499,(3 out of 5)
417,moderado,-69.89,0.37,0.15018,(3 out of 5)
418,alto,-70.26,0.53,0.89991,(3 out of 5)
419,moderado,-70.79,2.51,1.30004,(3 out of 5)
426,alto,-73.3,1.33,6.24993,(3 out of 5)
429,moderado,-74.63,0.33,3.30007,(3 out of 5)
430,alto,-74.96,0.77,0.79998,(3 out of 5)
432,moderado,-75.73,0.93,1.90008,(3 out of 5)
434,alto,-76.66,1.27,2.30002,(3 out of 5)
437,moderado,-77.93,1.45,3.1499,(3 out of 5)
441,baixo,-79.38,0.15,3.60005,(3 out of 5)
441,moderado,-79.53,0.03,0.34989,(3 out of 5)
441,baixo,-79.56,0.05,0.05007,(3 out of 5)
441,moderado,-79.61,0.05,0.10081,(3 out of 5)
441,baixo,-79.66,0.03,0.1007,(3 out of 5)
441,moderado,-79.69,0.97,0.04848,(3 out of 5)
444,baixo,-80.66,0.07,2.40008,(3 out of 5)
444,moderado,-80.73,0.49,0.15009,(3 out of 5)
445,alto,-81.22,0.13,1.19983,(3 out of 5)
445,moderado,-81.35,0.23,0.3001,(3 out of 5)
446,baixo,-81.58,0.67,0.5498,(3 out of 5)
448,moderado,-82.25,0.27,1.65014,(3 out of 5)
448,baixo,-82.52,0.59,0.6499,(3 out of 5)
450,moderado,-83.11,0.99,1.45014,(3 out of 5)
452,alto,-84.1,0.33,2.44979,(3 out of 5)
453,moderado,-84.43,1.07,0.8001,(3 out of 5)
456,alto,-85.5,0.11,2.64999,(3 out of 5)
456,moderado,-85.61,0.43,0.25013,(3 out of 5)
457,alto,-86.04,0.53,1.04997,(3 out of 5)
458,moderado,-86.57,1.31,1.29991,(3 out of 5)
461,alto,-87.88,0.45,3.24991,(3 out of 5)
463,moderado,-88.33,0.61,1.10003,(3 out of 5)
464,baixo,-88.94,0.27,1.50011,(3 out of 5)
465,moderado,-89.21,2.47,0.64992,(3 out of 5)
471,baixo,-91.68,0.77,6.15001,(3 out of 5)
473,moderado,-92.45,3.47,1.89991,(3 out of 5)
481,alto,-95.92,0.17,8.65021,(3 out of 5)
482,moderado,-96.09,0.49,0.40003,(3 out of 5)
483,alto,-96.58,0.19,1.19989,(3 out of 5)
483,moderado,-96.77,0.43,0.45005,(3 out of 5)
484,baixo,-97.2,0.09,1.05008,(3 out of 5)
485,moderado,-97.29,0.73,0.2,(3 out of 5)
486,baixo,-98.02,0.15,1.79986,(3 out of 5)
487,moderado,-98.17,0.07,0.35006,(3 out of 5)
487,baixo,-98.24,0.19,0.14991,(3 out of 5)
487,moderado,-98.43,0.45,0.45005,(3 out of 5)
489,alto,-98.88,0.43,1.09977,(3 out of 5)
490,moderado,-99.31,1.49,1.05016,(3 out of 5)
493,baixo,-100.8,0.79,3.70011,(3 out of 5)
495,moderado,-101.59,1.17,1.94993,(3 out of 5)
498,baixo,-102.76,0.21,2.90004,(3 out of 5)
499,moderado,-102.97,1.43,0.49991,(3 out of 5)
502,baixo,-104.4,1.63,3.55019,(3 out of 5)
506,moderado,-106.03,0.27,4.04984,(3 out of 5)
507,baixo,-106.3,0.79,0.65003,(3 out of 5)
509,moderado,-107.09,2.67,1.95002,(3 out of 5)
515,alto,-109.76,0.11,6.65007,(3 out of 5)
516,moderado,-109.87,0.81,0.24999,(3 out of 5)
518,baixo,-110.68,0.05,1.99997,(3 out of 5)
518,moderado,-110.73,0.65,0.10076,(3 out of 5)
519,baixo,-111.38,0.59,1.59922,(3 out of 5)
521,moderado,-111.97,0.45,1.44988,(3 out of 5)
522,baixo,-112.42,0.03,1.1,(3 out of 5)
522,moderado,-112.45,1.57,0.05003,(3 out of 5)
526,baixo,-114.02,1.15,3.90007,(3 out of 5)
529,moderado,-115.17,0.19,2.84989,(3 out of 5)
529,alto,-115.36,0.05,0.45012,(3 out of 5)
529,moderado,-115.41,0.79,0.10085,(3 out of 5)
531,baixo,-116.2,0.11,1.94928,(3 out of 5)
532,moderado,-116.31,0.05,0.24998,(3 out of 5)
532,baixo,-116.36,0.49,0.10074,(3 out of 5)
533,moderado,-116.85,1.27,1.1992,(3 out of 5)
536,alto,-118.12,0.97,3.15001,(3 out of 5)
538,moderado,-119.09,1.71,2.40001,(3 out of 5)
543,baixo,-120.8,0.77,4.24998,(3 out of 5)
545,moderado,-121.57,0.55,1.89994,(3 out of 5)
546,alto,-122.12,0.81,1.35005,(3 out of 5)
548,moderado,-122.93,0.15,2.00002,(3 out of 5)
548,alto,-123.08,0.95,0.34999,(3 out of 5)
551,moderado,-124.03,0.79,2.3499,(3 out of 5)
553,alto,-124.82,0.11,1.9501,(3 out of 5)
553,moderado,-124.93,0.39,0.25005,(3 out of 5)
554,alto,-125.32,0.19,0.94998,(3 out of 5)
554,moderado,-125.51,0.35,0.44999,(3 out of 5)
555,baixo,-125.86,0.03,0.85001,(3 out of 5)
555,moderado,-125.89,0.03,0.05008,(3 out of 5)
555,baixo,-125.92,0.57,0.05066,(3 out of 5)
557,moderado,-126.49,0.21,1.39927,(3 out of 5)
557,alto,-126.7,0.03,0.49994,(3 out of 5)
557,moderado,-126.73,0.13,0.05002,(3 out of 5)
557,alto,-126.86,0.57,0.30014,(3 out of 5)
559,moderado,-127.43,2.93,1.3998,(3 out of 5)
566,baixo,-130.36,2.37,7.30003,(3 out of 5)
572,moderado,-132.73,1.03,5.90004,(3 out of 5)
575,baixo,-133.76,0.07,2.54984,(3 out of 5)
575,moderado,-133.83,0.25,0.15002,(3 out of 5)
575,baixo,-134.08,1.15,0.59999,(3 out of 5)
578,moderado,-135.23,0.59,2.85012,(3 out of 5)
580,baixo,-135.82,0.07,1.45,(3 out of 5)
580,moderado,-135.89,1.15,0.15002,(3 out of 5)
583,baixo,-137.04,0.73,2.84991,(3 out of 5)
584,moderado,-137.77,0.07,1.80009,(3 out of 5)
585,alto,-137.84,0.93,0.14997,(3 out of 5)
587,moderado,-138.77,2.21,2.30004,(3 out of 5)
592,baixo,-140.98,0.05,5.50079,(3 out of 5)
592,moderado,-141.03,0.25,0.09996,(3 out of 5)
593,alto,-141.28,0.47,0.59929,(3 out of 5)
594,moderado,-141.75,0.23,1.14986,(3 out of 5)
595,alto,-141.98,0.05,0.54999,(3 out of 5)
595,moderado,-142.03,0.35,0.1008,(3 out of 5)
596,baixo,-142.38,0.55,0.84929,(3 out of 5)
597,moderado,-142.93,0.91,1.35,(3 out of 5)
599,baixo,-143.84,0.65,2,(3 out of 5)
601,moderado,-144.49,1.01,1.59903,(3 out of 5)
603,baixo,-145.5,0.15,2.50004,(3 out of 5)
604,moderado,-145.65,2.11,0.35001,(3 out of 5)
609,alto,-147.76,0.29,5.25,(3 out of 5)
610,moderado,-148.05,0.49,0.6999,(3 out of 5)
611,alto,-148.54,0.47,1.20006,(3 out of 5)
612,moderado,-149.01,0.21,1.14992,(3 out of 5)
613,baixo,-149.22,0.05,0.49999,(3 out of 5)
613,moderado,-149.27,0.47,0.10069,(3 out of 5)
614,alto,-149.74,0.21,1.14925,(3 out of 5)
614,moderado,-149.95,0.35,0.5,(3 out of 5)
615,alto,-150.3,0.13,0.85007,(3 out of 5)
615,moderado,-150.43,1.03,0.29995,(3 out of 5)
618,baixo,-151.46,0.23,2.55012,(3 out of 5)
619,moderado,-151.69,0.03,0.54999,(3 out of 5)
619,baixo,-151.72,0.47,0.05004,(3 out of 5)
620,moderado,-152.19,0.35,1.15001,(3 out of 5)
621,alto,-152.54,0.33,0.84998,(3 out of 5)
621,moderado,-152.87,0.61,0.79994,(3 out of 5)
623,baixo,-153.48,0.57,1.49988,(3 out of 5)
624,moderado,-154.05,0.55,1.40017,(3 out of 5)
626,baixo,-154.6,0.05,1.34987,(3 out of 5)
626,moderado,-154.65,0.17,0.10071,(3 out of 5)
626,baixo,-154.82,0.71,0.39931,(3 out of 5)
628,moderado,-155.53,2.07,1.75006,(3 out of 5)
633,alto,-157.6,0.11,5.15002,(3 out of 5)
633,moderado,-157.71,1.95,0.24997,(3 out of 5)
638,baixo,-159.66,0.09,4.84997,(3 out of 5)
638,moderado,-159.75,1.19,0.20006,(3 out of 5)
641,baixo,-160.94,0.19,2.95077,(3 out of 5)
642,moderado,-161.13,0.63,0.44922,(3 out of 5)
643,baixo,-161.76,0.15,1.55064,(3 out of 5)
644,moderado,-161.91,0.33,0.34931,(3 out of 5)
644,baixo,-162.24,0.07,0.80001,(3 out of 5)
645,moderado,-162.31,0.91,0.15084,(3 out of 5)
647,alto,-163.22,0.51,2.24893,(3 out of 5)
648,moderado,-163.73,0.63,1.25023,(3 out of 5)
650,baixo,-164.36,0.45,1.55006,(3 out of 5)
651,moderado,-164.81,0.71,1.09997,(3 out of 5)
652,baixo,-165.52,0.29,1.75007,(3 out of 5)
653,moderado,-165.81,0.85,0.69992,(3 out of 5)
655,alto,-166.66,0.95,2.09994,(3 out of 5)
658,moderado,-167.61,0.93,2.35006,(3 out of 5)
660,alto,-168.54,0.49,2.29996,(3 out of 5)
661,moderado,-169.03,0.47,1.20003,(3 out of 5)
662,alto,-169.5,0.69,1.14991,(3 out of 5)
664,moderado,-170.19,0.13,1.69998,(3 out of 5)
664,baixo,-170.32,0.27,0.30003,(3 out of 5)
665,moderado,-170.59,1.61,0.65008,(3 out of 5)
669,alto,-172.2,0.03,4,(3 out of 5)
669,moderado,-172.23,0.11,0.04998,(3 out of 5)
669,alto,-172.34,0.73,0.25007,(3 out of 5)
671,moderado,-173.07,0.75,1.79987,(3 out of 5)
673,alto,-173.82,0.23,1.8501,(3 out of 5)
673,moderado,-174.05,0.59,0.54995,(3 out of 5)
675,alto,-174.64,0.53,1.44998,(3 out of 5)
676,moderado,-175.17,1.45,1.30003,(3 out of 5)
680,alto,-176.62,0.41,3.60058,(3 out of 5)
681,moderado,-177.03,2.63,0.99933,(3 out of 5)
687,alto,-179.66,0.87,6.55012,(3 out of 5)
689,moderado,-180.53,1.15,2.15005,(3 out of 5)
692,baixo,-181.68,0.37,2.84995,(3 out of 5)
693,moderado,-182.05,0.33,0.89999,(3 out of 5)
694,alto,-182.38,0.13,0.80002,(3 out of 5)
694,moderado,-182.51,0.57,0.30002,(3 out of 5)
696,baixo,-183.08,0.27,1.39995,(3 out of 5)
696,moderado,-183.35,0.43,0.6499,(3 out of 5)
697,alto,-183.78,0.07,1.05016,(3 out of 5)
698,moderado,-183.85,0.71,0.14995,(3 out of 5)
699,alto,-184.56,0.35,1.74997,(3 out of 5)
700,moderado,-184.91,0.33,0.85011,(3 out of 5)
701,alto,-185.24,0.65,0.79996,(3 out of 5)
703,moderado,-185.89,0.11,1.59984,(3 out of 5)
703,alto,-186,0.79,0.25089,(3 out of 5)
