Tempo(s), Risco do Sensor, Nivel da Bateria,Delta de Bateria, Diff(s)
3.28082,alto,95.16,0.43,0.25879
3.56884,moderado,94.73,0.08,0.28802
3.61735,baixo,94.65,0.22,0.04851
3.76544,alto,94.43,1.13,0.14809
4.53331,moderado,93.3,0.08,0.76787
4.5809,baixo,93.22,4.77,0.04759
7.85292,moderado,88.45,0.22,3.27203
8.0007,baixo,88.23,4.7,0.14778
11.2174,alto,83.53,0.85,3.21668
11.7934,moderado,82.68,0.15,0.57605
11.8897,baixo,82.53,0.99,0.09629
12.5654,alto,81.54,0.22,0.67568
12.7135,moderado,81.32,0.08,0.14807
12.7609,baixo,81.24,0.85,0.04746
13.3414,alto,80.39,0.29,0.58042
13.5334,moderado,80.1,0.22,0.19205
13.6811,baixo,79.88,2.53,0.14768
15.4134,moderado,77.35,0.08,1.73236
15.4611,baixo,77.27,2.46,0.04767
17.1529,moderado,74.81,0.08,1.69183
17.2007,baixo,74.73,2.11,0.0478
18.6493,alto,72.62,0.08,1.44858
19,moderado,72.54,0.08,0.04765
18.7458,baixo,72.46,2.74,0.04881
20.6211,moderado,69.72,0.15,1.8753
20.7185,baixo,69.57,7.15,0.09741
25.9039,alto,62.42,0.08,5.18544
26,moderado,62.34,0.15,0.0551
26.0733,alto,62.19,1.06,0.11431
26.9116,moderado,61.13,0.15,0.83831
27.0251,baixo,60.98,1.69,0.11345
28.3636,moderado,59.29,0.29,1.3385
28.5879,alto,59,0.43,0.22431
29,moderado,58.57,0.22,0.33615
29.0924,baixo,58.35,5.05,0.16837
34.6897,alto,53.3,0.57,5.59724
35.0735,moderado,52.73,0.36,0.38386
35.3168,baixo,52.37,0.36,0.24332
35.5568,moderado,52.01,0.29,0.24001
35.7536,baixo,51.72,5.26,0.19672
39.3688,moderado,46.46,0.08,3.61521
39.4165,baixo,46.38,1.76,0.04773
40.6293,moderado,44.62,0.08,1.21282
40.6772,baixo,44.54,2.04,0.0479
42.0732,alto,42.5,0.57,1.39603
42.4567,moderado,41.93,0.5,0.38349
42.7934,baixo,41.43,1.2,0.33664
43.6133,alto,40.23,1.13,0.81994
44,moderado,39.1,0.29,0.76765
44.5733,baixo,38.81,0.08,0.19229
44.6213,moderado,38.73,0.08,0.04807
44.6704,baixo,38.65,0.36,0.04909
44.9133,alto,38.29,0.43,0.24292
45.2016,moderado,37.86,0.08,0.28822
45.2495,baixo,37.78,2.25,0.0479
46.8421,moderado,35.53,0.08,1.59261
46.8901,baixo,35.45,2.25,0.04806
48.4453,alto,33.2,0.57,1.55519
48.8334,moderado,32.63,0.15,0.38812
48.9307,baixo,32.48,4,0.09724
51.6731,alto,28.48,1.83,2.74241
52.9255,moderado,26.65,0.43,1.25243
53,baixo,26.22,3.23,0.29148
55.4284,moderado,22.99,0.08,2.21139
55,baixo,22.91,4.77,0.04861
58.7534,moderado,18.14,0.15,3.27642
58.8496,baixo,17.99,0.92,0.0962
59.4801,alto,17.07,0.5,0.63051
59.8173,moderado,16.57,0.22,0.33718
59.9655,baixo,16.35,9.67,0.14826
66.6009,alto,6.68,0.71,6.63537
67.0811,moderado,5.97,0.15,0.48023
67.1786,alto,5.82,0.64,0.09746
67.6174,moderado,5.18,0.15,0.43881
67.7146,baixo,5.03,5.33,0.09722
71.3654,moderado,-0.3,0.15,3.65077
71.4623,baixo,-0.45,1.69,0.09692
72.6175,moderado,-2.14,0.08,1.15513
72.6647,alto,-2.22,1.06,0.04724
73.3854,moderado,-3.28,0.08,0.72069
73.4328,baixo,-3.36,1.06,0.0474
74.1614,moderado,-4.42,0.08,0.72866
74.2092,baixo,-4.5,0.78,0.04778
74.7446,alto,-5.28,0.29,0.53542
74.9375,moderado,-5.57,0.15,0.19289
75.0347,baixo,-5.72,0.57,0.0972
75.4255,moderado,-6.29,0.15,0.39072
75.5226,baixo,-6.44,0.78,0.09714
76.0571,moderado,-7.22,0.08,0.53449
76.1051,baixo,-7.3,1.97,0.04796
77.4571,alto,-9.27,0.22,1.35205
77.6054,moderado,-9.49,0.29,0.14828
77.8014,baixo,-9.78,1.76,0.19599
79.0056,moderado,-11.54,0.36,1.20418
79.2491,baixo,-11.9,0.57,0.2435
80,alto,-12.47,0.71,0.38398
80.1132,moderado,-13.18,0.15,0.48016
80.2103,baixo,-13.33,1.13,0.0971
80.9815,alto,-14.46,0.29,0.77121
81.1735,moderado,-14.75,0.08,0.19195
81.2215,baixo,-14.83,0.5,0.04799
81.5608,moderado,-15.33,0.22,0.33932
81.7094,baixo,-15.55,0.08,0.1486
81.7571,moderado,-15.63,0.08,0.04776
81.8056,baixo,-15.71,0.57,0.04841
82.1935,alto,-16.28,0.36,0.3879
82.4375,moderado,-16.64,0.36,0.24408
82.6775,baixo,-17,2.53,0.23998
84.4089,alto,-19.53,1.34,1.73135
85.3249,moderado,-20.87,0.22,0.91604
85.4735,baixo,-21.09,10.44,0.14857
92.6371,alto,-31.53,0.29,7.16364
92.8292,moderado,-31.82,0.08,0.19211
92.8768,baixo,-31.9,0.22,0.04755
93.0253,moderado,-32.12,0.15,0.14856
93.1224,baixo,-32.27,3.3,0.09702
95.3853,moderado,-35.57,0.29,2.26291
95.5775,baixo,-35.86,1.06,0.19222
96.2961,moderado,-36.92,0.08,0.7186
96.3447,baixo,-37,0.99,0.04861
97.0255,moderado,-37.99,0.15,0.68074
97.1226,baixo,-38.14,7.36,0.09714
102,alto,-45.5,0.15,5.05421
102,moderado,-45.65,0.22,0.09751
102,baixo,-45.87,4.49,0.14314
105,alto,-50.36,0.57,3.07552
106,moderado,-50.93,0.08,0.38449
106,baixo,-51.01,1.2,0.04716
107,alto,-52.21,0.29,0.82101
107,moderado,-52.5,0.08,0.19603
107,baixo,-52.58,1.55,0.04756
108,alto,-54.13,0.57,1.06008
108,moderado,-54.7,0.15,0.38792
109,baixo,-54.85,0.64,0.09729
109,alto,-55.49,0.78,0.43909
110,moderado,-56.27,0.22,0.53137
110,baixo,-56.49,9.25,0.14449
116,alto,-65.74,1.06,6.33994
117,moderado,-66.8,0.08,0.72355
117,baixo,-66.88,2.39,0.04791
118,alto,-69.27,0.99,1.63658
119,moderado,-70.26,0.08,0.67202
119,baixo,-70.34,4.28,0.04801
122,moderado,-74.62,0.22,2.93586
122,baixo,-74.84,3.72,0.14753
125,alto,-78.56,0.29,2.55658
125,moderado,-78.85,0.15,0.19529
125,baixo,-79,8.76,0.09799
131,moderado,-87.76,0.15,6.00618
131,baixo,-87.91,1.27,0.0968
132,alto,-89.18,0.64,0.86351
132,moderado,-89.82,0.22,0.43619
133,baixo,-90.04,0.71,0.14783
133,alto,-90.75,0.57,0.48018
133,moderado,-91.32,0.08,0.3878
134,baixo,-91.4,1.55,0.04753
135,moderado,-92.95,0.08,1.06066
135,baixo,-93.03,4.35,0.04684
138,moderado,-97.38,0.08,2.98838
138,baixo,-97.46,2.11,0.04817
139,alto,-99.57,0.5,1.44463
139,moderado,-100.07,0.08,0.33556
139,baixo,-100.15,1.55,0.04821
140.55,moderado,-101.7,0.15,1.0603
141,alto,-101.85,0.15,0.09713
141,moderado,-102,0.15,0.10009
141,baixo,-102.15,5.82,0.09886
145,alto,-107.97,0.78,3.98352
145,moderado,-108.75,0.15,0.53192
145,baixo,-108.9,0.22,0.09702
146,moderado,-109.12,0.36,0.14716
146,baixo,-109.48,0.71,0.24018
146,moderado,-110.19,0.08,0.48399
146,baixo,-110.27,1.62,0.04727
147,alto,-111.89,0.29,1.10881
148,moderado,-112.18,0.08,0.19602
148,baixo,-112.26,0.64,0.04732
148,alto,-112.9,0.15,0.43659
148,moderado,-113.05,0.15,0.09717
148,baixo,-113.2,11.14,0.10007
156,moderado,-124.34,0.08,7.63874
156,baixo,-124.42,6.38,0.04781
160,moderado,-130.8,0.08,4.37234
160,baixo,-130.88,0.64,0.04773
161,moderado,-131.52,0.15,0.43606
161,baixo,-131.67,8.62,0.09691
167,alto,-140.29,0.22,5.90316
167,moderado,-140.51,0.15,0.14809
167.15,alto,-140.66,0.08,0.09615
167,moderado,-140.74,0.36,0.04725
167,alto,-141.1,0.5,0.24038
168,moderado,-141.6,0.15,0.33618
168,baixo,-141.75,2.6,0.09746
170,alto,-144.35,0.99,1.78245
170,moderado,-145.34,0.08,0.67183
170,baixo,-145.42,1.34,0.04821
171,alto,-146.76,0.22,0.91983
171,moderado,-146.98,0.29,0.1442
172,baixo,-147.27,5.33,0.19581
175,alto,-152.6,1.62,3.65225
176,moderado,-154.22,0.22,1.10763
177,baixo,-154.44,0.08,0.14423
177,alto,-154.52,0.15,0.04753
177,moderado,-154.67,0.15,0.09761
177,alto,-154.82,1.34,0.09855
178,moderado,-156.16,0.22,0.91245
178,baixo,-156.38,3.09,0.14731
180,moderado,-159.47,0.36,2.11234
180,alto,-159.83,0.22,0.24026
180,moderado,-160.05,0.29,0.14803
181,alto,-160.34,1.13,0.19159
181,moderado,-161.47,0.08,0.77217
181,baixo,-161.55,0.92,0.04802
182,alto,-162.47,0.57,0.63209
182,moderado,-163.04,0.15,0.38758
182.47,baixo,-163.19,1.27,0.09723
183,alto,-164.46,0.57,0.8674
184,moderado,-165.03,0.15,0.38392
184,baixo,-165.18,1.83,0.09705
185,moderado,-167.01,0.15,1.25459
185.17,baixo,-167.16,2.81,0.09684
187,moderado,-169.97,0.22,1.91883
187,baixo,-170.19,0.64,0.14872
188,moderado,-170.83,0.15,0.43144
188,baixo,-170.98,2.46,0.09759
189,alto,-173.44,0.92,1.68682
190,moderado,-174.36,0.29,0.62402
190,baixo,-174.65,2.11,0.20005
192,moderado,-176.76,0.22,1.43966
192,baixo,-176.98,4,0.14855
195,alto,-180.98,0.29,2.73946
194.8,moderado,-181.27,0.15,0.1953
195,baixo,-181.42,1.34,0.09776
196,alto,-182.76,0.64,0.91134
196,baixo,-183.4,0.22,0.43599
196,alto,-183.62,0.08,0.14803
196,moderado,-183.7,0.08,0.04771
196.49,baixo,-183.78,0.15,0.04873
197,moderado,-183.93,0.29,0.09571
197,baixo,-184.22,0.85,0.19582
197,moderado,-185.07,0.08,0.57601
197,baixo,-185.15,1.55,0.04779
198.47,moderado,-186.7,0.08,1.06436
199,alto,-186.78,0.5,0.04776
199,moderado,-187.28,0.85,0.3399
199,baixo,-188.13,5.26,0.57887
203,moderado,-193.39,0.08,3.60121
203,alto,-193.47,1.34,0.04734
204,baixo,-194.81,2.81,0.92083
206,alto,-197.62,0.08,1.92366
206,moderado,-197.7,0.15,0.04769
206,baixo,-197.85,0.71,0.09717
207,alto,-198.56,0.57,0.48302
207,moderado,-199.13,0.22,0.38834
207,baixo,-199.35,5.05,0.14393
211,moderado,-204.4,0.15,3.46016
211,baixo,-204.55,3.09,0.09714
213,alto,-207.64,0.64,2.11876
213,moderado,-208.28,0.15,0.43557
213,alto,-208.43,0.5,0.09751
214,moderado,-208.93,0.29,0.34304
214,baixo,-209.22,0.64,0.19084
214,moderado,-209.86,0.36,0.43252
215,baixo,-210.22,2.46,0.23976
216,alto,-212.68,0.5,1.68431
217,moderado,-213.18,0.08,0.33652
217,baixo,-213.26,5.19,0.04755
220,alto,-218.45,0.29,3.55565
220,moderado,-218.74,0.08,0.19679
220,alto,-218.82,0.15,0.04754
220.47,moderado,-218.97,0.08,0.09687
221,baixo,-219.05,2.88,0.04741
222,moderado,-221.93,0.15,1.96813
223,baixo,-222.08,4.77,0.0972
226,moderado,-226.85,0.15,3.27083
226,baixo,-227,0.36,0.09724
226,moderado,-227.36,0.22,0.24676
226,baixo,-227.58,2.25,0.14403
228,moderado,-229.83,0.15,1.53595
228,baixo,-229.98,3.09,0.09647
230.09,alto,-233.07,0.08,2.11577
230,moderado,-233.15,0.08,0.04771
230,baixo,-233.23,4.56,0.04876
233,moderado,-237.79,0.22,3.11869
233,baixo,-238.01,1.83,0.14442
235,moderado,-239.84,0.08,1.25223
235,baixo,-239.92,2.46,0.04782
236,alto,-242.38,0.15,1.68384
237,moderado,-242.53,0.15,0.09762
236.63,baixo,-242.68,2.04,0.0996
238,moderado,-244.72,0.29,1.39876
238,baixo,-245.01,5.19,0.19212
242,moderado,-250.2,0.08,3.55592
242,baixo,-250.28,2.88,0.04775
244,moderado,-253.16,0.08,1.97262
244,baixo,-253.24,2.25,0.04744
245,alto,-255.49,1.06,1.54054
246,moderado,-256.55,0.22,0.72389
246,alto,-256.77,1.13,0.14386
247,moderado,-257.9,0.08,0.76845
247,baixo,-257.98,0.43,0.04711
247,moderado,-258.41,0.15,0.28823
247,baixo,-258.56,1.13,0.09737
248,moderado,-259.69,0.08,0.77453
248,baixo,-259.77,9.18,0.04774
255,moderado,-268.95,0.08,6.43275
255,baixo,-269.03,1.69,0.04697
256,moderado,-270.72,0.15,1.16876
256,alto,-270.87,0.36,0.09721
256.27,moderado,-271.23,0.43,0.24727
257,alto,-271.66,0.15,0.29184
257,moderado,-271.81,0.08,0.09707
257,baixo,-271.89,2.74,0.04995
259,alto,-274.63,0.5,2
259,moderado,-275.13,0.15,0.34001
259,alto,-275.28,0.36,0.09632
259,moderado,-275.64,0.08,0.24274
259,baixo,-275.72,3.72,0.04776
262,alto,-279.44,1.9,2.54517
263,moderado,-281.34,0.15,1.29996
263,baixo,-281.49,0.85,0.09656
264,alto,-282.34,1.06,0.57532
265,moderado,-283.4,0.15,0.72016
265,alto,-283.55,0.71,0.09646
265,moderado,-284.26,0.08,0.47956
265,alto,-284.34,1.13,0.04733
266,moderado,-285.47,0.15,0.7681
266,baixo,-285.62,3.79,0.09767
269,moderado,-289.41,0.08,2.59482
269,baixo,-289.49,5.4,0.04768
272,moderado,-294.89,0.15,3.70394
272,baixo,-295.04,1.41,0.09613
273,alto,-296.45,0.78,0.95977
274,moderado,-297.23,0.08,0.53189
274,baixo,-297.31,1.97,0.04858
275,moderado,-299.28,0.08,1.34287
275,alto,-299.36,0.71,0.04825
276,baixo,-300.07,7.78,0.48104
281,alto,-307.85,0.78,5.33135
282,moderado,-308.63,0.15,0.53159
282,baixo,-308.78,0.36,0.0982
282,moderado,-309.14,0.08,0.24611
282,baixo,-309.22,5.75,0.04859
286,moderado,-314.97,0.08,3.94011
286,alto,-315.05,0.36,0.04783
286,moderado,-315.41,0.15,0.24814
286,baixo,-315.56,1.69,0.09712
288,alto,-317.25,0.5,1.15915
288,moderado,-317.75,0.08,0.33962
288,baixo,-317.83,1.76,0.04784
289,alto,-319.59,0.92,1.20008
290,moderado,-320.51,0.5,0.62752
290,alto,-321.01,4.35,0.34042
293,moderado,-325.36,0.08,2.97981
293,baixo,-325.44,6.94,0.04769
298,moderado,-332.38,0.08,4.75647
298,alto,-332.46,0.64,0.04797
298,moderado,-333.1,0.29,0.43571
299,baixo,-333.39,0.08,0.19614
299,alto,-333.47,0.71,0.04804
299,moderado,-334.18,0.29,0.48425
299.39,baixo,-334.47,0.29,0.19622
300,alto,-334.76,0.99,0.19199
300,moderado,-335.75,0.15,0.6759
300,baixo,-335.9,9.81,0.09751
307,alto,-345.71,0.08,6.72251
307,moderado,-345.79,0.08,0.04753
307,baixo,-345.87,3.44,0.04861
310,alto,-349.31,0.29,2.3595
310,baixo,-349.6,0.15,0.19533
310,alto,-349.75,0.36,0.09677
310,moderado,-350.11,0.08,0.24034
310,baixo,-350.19,3.58,0.04685
313,alto,-353.77,0.92,2.45707
313,moderado,-354.69,0.15,0.62793
313,baixo,-354.84,2.53,0.09648
315,moderado,-357.37,0.22,1.72705
315,baixo,-357.59,1.13,0.14812
316,moderado,-358.72,0.64,0.77225
316,baixo,-359.36,1.76,0.43587
318,alto,-361.12,0.08,1.20424
318,moderado,-361.2,0.29,0.04771
318,baixo,-361.49,3.02,0.19617
320,alto,-364.51,0.57,2.06818
320,moderado,-365.08,0.15,0.38819
320,baixo,-365.23,0.85,0.09721
321,moderado,-366.08,0.08,0.58263
321,baixo,-366.16,1.06,0.04787
321.73,moderado,-367.22,0.08,0.7202
322,baixo,-367.3,7.22,0.04748
327,moderado,-374.52,0.22,4.95241
327,baixo,-374.74,4.35,0.1478
330,alto,-379.09,0.78,2.97498
330,moderado,-379.87,0.15,0.52872
330,baixo,-380.02,1.69,0.09777
332,moderado,-381.71,0.08,1.15877
332,alto,-381.79,1.55,0.04771
333,moderado,-383.34,0.08,1.05598
333,baixo,-383.42,1.9,0.0481
334,alto,-385.32,0.99,1.29998
335,moderado,-386.31,0.15,0.67507
335,baixo,-386.46,3.58,0.09842
337,alto,-390.04,0.78,2.45483
338,moderado,-390.82,0.15,0.52764
338,alto,-390.97,0.43,0.09673
338,moderado,-391.4,0.08,0.28744
338,alto,-391.48,0.08,0.04781
338,baixo,-391.56,1.27,0.04835
339,alto,-392.83,0.5,0.86374
340,moderado,-393.33,0.08,0.34006
340,baixo,-393.41,5.33,0.04741
343,alto,-398.74,0.08,3.66449
343,moderado,-398.82,0.08,0.04788
343,baixo,-398.9,4.42,0.04877
346,moderado,-403.32,0.08,3.02382
346,baixo,-403.4,0.64,0.04698
347,moderado,-404.04,0.08,0.43674
347,baixo,-404.12,0.71,0.04772
347,moderado,-404.83,0.08,0.48793
347,alto,-404.91,0.08,0.04812
347,moderado,-404.99,0.15,0.04954
348,baixo,-405.14,3.72,0.09907
350,moderado,-408.86,0.22,2.54379
350,alto,-409.08,0.22,0.14715
350,moderado,-409.3,0.29,0.14474
350.61,baixo,-409.59,1.69,0.19606
352,moderado,-411.28,0.08,1.15593
352,baixo,-411.36,0.15,0.04776
352,moderado,-411.51,0.15,0.09746
352,baixo,-411.66,0.57,0.10015
352,alto,-412.23,1.27,0.39065
353,moderado,-413.5,0.08,0.86362
353,baixo,-413.58,2.39,0.04786
354.95,alto,-415.97,0.22,1.63665
355,moderado,-416.19,0.22,0.14771
355,baixo,-416.41,0.99,0.14406
356,alto,-417.4,0.22,0.67619
356,moderado,-417.62,0.22,0.1438
356,alto,-417.84,0.15,0.14805
356,moderado,-417.99,0.15,0.09731
356,baixo,-418.14,5.19,0.10008
360,alto,-423.33,0.15,3.5586
360,moderado,-423.48,0.08,0.09735
360,alto,-423.56,0.15,0.05053
360.21,moderado,-423.71,0.36,0.09722
360,baixo,-424.07,1.9,0.24696
362,moderado,-425.97,0.08,1.29944
362,baixo,-426.05,3.93,0.04789
364,moderado,-429.98,0.08,2.69142
365,baixo,-430.06,3.37,0.04792
367,moderado,-433.43,0.15,2.30516
367,baixo,-433.58,11.91,0.09665
375,moderado,-445.49,0.29,8.16353
375,alto,-445.78,0.92,0.19135
376,moderado,-446.7,0.08,0.62458
376,baixo,-446.78,2.81,0.04702
378,alto,-449.59,0.36,1.92098
378,moderado,-449.95,0.15,0.23996
378,baixo,-450.1,0.57,0.09734
379,moderado,-450.67,0.22,0.39039
379,baixo,-450.89,2.67,0.14431
381,moderado,-453.56,0.15,1.82808
381,baixo,-453.71,0.15,0.09735
380.79,alto,-453.86,0.43,0.09902
381,moderado,-454.29,0.08,0.29109
381,baixo,-454.37,1.13,0.04773
382,alto,-455.5,0.92,0.77706
383,moderado,-456.42,0.15,0.62701
383,baixo,-456.57,0.29,0.09796
383,moderado,-456.86,0.15,0.19821
383,alto,-457.01,1.76,0.09781
384,moderado,-458.77,0.22,1.20269
384,baixo,-458.99,4.42,0.14402
387,moderado,-463.41,0.22,3.02785
387.45,alto,-463.63,0.43,0.14827
388,moderado,-464.06,0.29,0.29132
388,baixo,-464.35,2.95,0.19632
390,moderado,-467.3,0.29,2.01642
390,alto,-467.59,0.08,0.19563
390,moderado,-467.67,0.08,0.04778
390,baixo,-467.75,0.08,0.04873
390,alto,-467.83,0.85,0.04888
391,moderado,-468.68,0.08,0.58282
391,alto,-468.76,0.43,0.04749
391,moderado,-469.19,0.15,0.28765
391,alto,-469.34,0.36,0.09831
392,moderado,-469.7,0.08,0.24661
392,baixo,-469.78,0.08,0.04775
392,alto,-469.86,0.22,0.0496
392,moderado,-470.08,0.08,0.15059
392,alto,-470.16,0.36,0.04773
392,moderado,-470.52,0.5,0.24359
392,baixo,-471.02,6.52,0.33691
397,moderado,-477.54,0.22,4.46757
397,baixo,-477.76,3.72,0.14823
400,moderado,-481.48,0.15,2.54717
400,baixo,-481.63,11.14,0.09739
407.33,moderado,-492.77,0.15,7.63554
407,baixo,-492.92,0.36,0.09694
408,moderado,-493.28,0.22,0.24685
408,alto,-493.5,0.29,0.14809
408,moderado,-493.79,0.22,0.19522
408,baixo,-494.01,7.15,0.14394
413,moderado,-501.16,0.15,4.89624
413,baixo,-501.31,1.41,0.09729
414,moderado,-502.72,0.15,0.95938
414,baixo,-502.87,1.13,0.09709
415,alto,-504,0.43,0.77492
415,moderado,-504.43,0.08,0.288
415,baixo,-504.51,1.06,0.0471
416,moderado,-505.57,0.08,0.7248
416,baixo,-505.65,2.04,0.04795
417.49,moderado,-507.69,0.08,1.3962
418,baixo,-507.77,1.55,0.04796
419,moderado,-509.32,0.08,1.05595
419,baixo,-509.4,8.41,0.04781
424,alto,-517.81,0.57,5.76756
425,moderado,-518.38,0.08,0.38862
425,baixo,-518.46,4.21,0.04685
427.73,moderado,-522.67,0.15,2.88522
428,baixo,-522.82,4.35,0.09659
431,alto,-527.17,0.5,2.9753
431,moderado,-527.67,0.08,0.33565
431,baixo,-527.75,3.44,0.04784
434,alto,-531.19,2.39,2.35652
435,moderado,-533.58,0.29,1.63472
435,baixo,-533.87,0.99,0.19281
436,alto,-534.86,0.15,0.67273
436,moderado,-535.01,0.15,0.09699
436,baixo,-535.16,5.89,0.09921
440,alto,-541.05,0.5,4
441,moderado,-541.55,0.15,0.3365
441,baixo,-541.7,1.06,0.09751
441,alto,-542.76,0.57,0.72559
442,moderado,-543.33,0.08,0.38893
442,baixo,-543.41,1.76,0.04768
443,alto,-545.17,0.15,1.20018
443,moderado,-545.32,0.08,0.09706
443,baixo,-545.4,1.83,0.04667
444,alto,-547.23,0.64,1.2517
445,moderado,-547.87,0.08,0.43634
445,baixo,-547.95,0.22,0.04802
445,moderado,-548.17,0.15,0.14815
445.19,baixo,-548.32,7.01,0.09639
450,moderado,-555.33,0.22,4.79978
450,baixo,-555.55,0.29,0.14422
450,alto,-555.84,0.15,0.19155
450,moderado,-555.99,0.08,0.09647
450,baixo,-556.07,2.88,0.04684
452,moderado,-558.95,0.15,1.9732
453,baixo,-559.1,5.47,0.09702
456,moderado,-564.57,0.08,3.75072
456,baixo,-564.65,1.97,0.04768
458,alto,-566.62,1.06,1.34782
458.41,moderado,-567.68,0.08,0.72461
458,baixo,-567.76,0.92,0.04709
459,alto,-568.68,0.22,0.63277
459,moderado,-568.9,0.15,0.14801
459,baixo,-569.05,0.71,0.09716
460,moderado,-569.76,0.08,0.48293
460,baixo,-569.84,1.83,0.04717
461,moderado,-571.67,0.08,1.25233
461,baixo,-571.75,0.5,0.04746
462,alto,-572.25,0.85,0.33693
462,moderado,-573.1,0.36,0.57616
462,baixo,-573.46,4.14,0.24353
465,alto,-577.6,0.15,2.8312
465.25,moderado,-577.75,0.08,0.09803
465,baixo,-577.83,3.23,0.05082
