@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,bom,79.2423,79.3366,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,80.2424,80.3367,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,81.2423,81.3366,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,82.2422,82.3366,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,83.2422,83.3367,0.0945,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,84.2424,84.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,85.2423,85.3367,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,86.2424,86.3367,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,87.2425,87.3367,0.09424,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,88.2423,88.3367,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,89.2423,89.3367,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,90.2422,90.3366,0.09441,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,91.2423,91.3368,0.09454,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,92.2423,92.3367,0.09444,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,93.2423,93.3367,0.09442,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,94.2423,94.3367,0.09439,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,95.2424,95.3367,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,96.2423,96.3367,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,97.2423,97.3366,0.09425,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,98.2423,98.3366,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,99.2424,99.3366,0.09423,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,100242,100337,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,101242,101337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,102242,102337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,103242,103337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,104242,104337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,105242,105337,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,106242,106337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,107242,107337,0.09451,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,108242,108337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,109242,109337,0.09444,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,110242,110337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,111242,111337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,112242,112337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,113242,113337,0.09444,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,114242,114337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,115242,115337,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,116242,116337,0.09425,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,117243,117337,0.0942,ten,'Real-time ON',SATISFIED,SATISFIED
