Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
1329,baixo,-133.87,3.58,0.72073,Controlled
1353.49,moderado,-137.45,0.08,24.4878,Controlled
1353.73,baixo,-137.53,0.64,0.24387,Controlled
1358.05,alto,-138.17,2.46,4.32355,Controlled
1359.74,moderado,-140.63,0.15,1.68089,Controlled
1360.22,baixo,-140.78,3.16,0.47986,Controlled
1381.82,alto,-143.94,1.2,22,Controlled
1382.64,moderado,-145.14,0.29,0.81551,Controlled
1383.6,baixo,-145.43,0.92,0.96002,Controlled
1389.84,moderado,-146.35,0.08,6.24394,Controlled
1390.08,alto,-146.43,0.15,0.24027,Controlled
1390.18,moderado,-146.58,0.08,0.09683,Controlled
1390.42,baixo,-146.66,0.5,0.24301,Controlled
1393.78,moderado,-147.16,0.22,3.35975,Controlled
1394.5,baixo,-147.38,5.26,0.72069,Controlled
1430.52,alto,-152.64,0.92,36,Controlled
1431.14,moderado,-153.56,0.15,0.62728,Controlled
1431.62,baixo,-153.71,2.53,0.47974,Controlled
1448.92,alto,-156.24,0.78,17.2966,Controlled
1449.45,moderado,-157.02,0.08,0.52805,Controlled
1449.69,baixo,-157.1,0.85,0.24418,Controlled
1455.45,alto,-157.95,0.5,5.7594,Controlled
1455.79,moderado,-158.45,0.08,0.33682,Controlled
1456.03,baixo,-158.53,1.27,0.23911,Controlled
1464.67,moderado,-159.8,0.08,8.64014,Controlled
1464.91,baixo,-159.88,7.92,0.24064,Controlled
1519.16,alto,-167.8,0.08,54.2478,Controlled
1519.2,moderado,-167.88,0.08,0.04764,Controlled
1519.45,baixo,-167.96,0.08,0.24364,Controlled
1519.93,moderado,-168.04,0.29,0.48479,Controlled
1520.89,baixo,-168.33,7.36,0.9599,Controlled
1571.32,moderado,-175.69,0.08,50.4282,Controlled
1571.56,alto,-175.77,0.29,0.24325,Controlled
1571.76,moderado,-176.06,0.15,0.19278,Controlled
1572.24,baixo,-176.21,5.61,0.47963,Controlled
1610.63,alto,-181.82,0.99,38.3997,Controlled
1611.31,moderado,-182.81,0.08,0.67181,Controlled
1611.55,baixo,-182.89,0.92,0.24089,Controlled
1617.79,moderado,-183.81,0.22,6.24405,Controlled
1618.51,alto,-184.03,0.57,0.72341,Controlled
1618.9,moderado,-184.6,0.15,0.38362,Controlled
1619.38,baixo,-184.75,6.94,0.48015,Controlled
1666.93,moderado,-191.69,0.08,48,Controlled
1667.17,baixo,-191.77,0.36,0.23975,Controlled
1669.57,alto,-192.13,0.36,2.40463,Controlled
1669.82,baixo,-192.49,9.39,0.2439,Controlled
1734.14,moderado,-201.88,0.22,64.3279,Controlled
1734.86,baixo,-202.1,4.56,0.72053,Controlled
1766.08,alto,-206.66,1.13,31,Controlled
1766.85,moderado,-207.79,0.08,0.77221,Controlled
1767.09,baixo,-207.87,1.41,0.2431,Controlled
1776.69,moderado,-209.28,0.08,9.59973,Controlled
1776.94,baixo,-209.36,2.46,0.24114,Controlled
1793.74,moderado,-211.82,0.08,16.8078,Controlled
1793.99,alto,-211.9,0.43,0.24373,Controlled
1794.27,moderado,-212.33,0.15,0.28779,Controlled
1794.76,baixo,-212.48,1.34,0.48013,Controlled
1803.88,alto,-213.82,0.15,9.12318,Controlled
1803.98,moderado,-213.97,0.22,0.09739,Controlled
1804.69,baixo,-214.19,0.43,0.71918,Controlled
1807.58,moderado,-214.62,0.08,2.88085,Controlled
1807.82,baixo,-214.7,3.51,0.24302,Controlled
1831.82,alto,-218.21,0.29,24.0005,Controlled
1832.01,moderado,-218.5,0.15,0.19195,Controlled
1832.49,baixo,-218.65,3.23,0.47952,Controlled
1854.59,moderado,-221.88,0.15,22.0964,Controlled
1855.07,baixo,-222.03,3.72,0.47992,Controlled
1880.51,moderado,-225.75,0.08,25.4438,Controlled
1880.75,baixo,-225.83,5.4,0.24096,Controlled
1917.72,moderado,-231.23,0.15,36.9639,Controlled
1918.2,baixo,-231.38,2.04,0.4839,Controlled
1932.14,moderado,-233.42,0.08,13.9398,Controlled
1932.38,baixo,-233.5,0.71,0.23962,Controlled
1937.18,moderado,-234.21,0.15,4.80417,Controlled
1937.66,baixo,-234.36,11.49,0.47992,Controlled
2016.41,alto,-245.85,0.85,79,Controlled
2016.98,moderado,-246.7,0.15,0.57534,Controlled
2017.46,baixo,-246.85,2.25,0.48024,Controlled
2032.83,alto,-249.1,0.15,15.3684,Controlled
2032.93,moderado,-249.25,0.08,0.09704,Controlled
2033.17,alto,-249.33,0.57,0.2395,Controlled
2033.56,moderado,-249.9,0.08,0.38812,Controlled
2033.8,baixo,-249.98,8.41,0.23932,Controlled
2091.4,moderado,-258.39,0.22,57.6079,Controlled
2092.12,baixo,-258.61,1.06,0.72026,Controlled
2099.32,alto,-259.67,1.62,7.20029,Controlled
2100.43,moderado,-261.29,0.22,1.10771,Controlled
2101.15,baixo,-261.51,3.02,0.72027,Controlled
2121.8,moderado,-264.53,0.08,20.6437,Controlled
2122.04,baixo,-264.61,0.22,0.24404,Controlled
2123.48,moderado,-264.83,0.15,1.4397,Controlled
2123.96,alto,-264.98,0.36,0.47996,Controlled
2124.2,moderado,-265.34,0.08,0.23996,Controlled
2124.44,baixo,-265.42,1.83,0.24424,Controlled
2136.93,moderado,-267.25,0.08,12.4838,Controlled
2137.17,baixo,-267.33,0.99,0.24049,Controlled
2143.9,alto,-268.32,0.5,6.72833,Controlled
2144.23,moderado,-268.82,0.29,0.33922,Controlled
2145.2,baixo,-269.11,1.48,0.96392,Controlled
2155.28,moderado,-270.59,0.22,10.0838,Controlled
2156,baixo,-270.81,3.37,0.72098,Controlled
2179.05,alto,-274.18,1.41,23.0402,Controlled
2180.01,moderado,-275.59,0.08,0.96457,Controlled
2180.26,baixo,-275.67,1.48,0.24371,Controlled
2190.33,moderado,-277.15,0.15,10.0799,Controlled
2190.81,alto,-277.3,0.15,0.47989,Controlled
2190.91,moderado,-277.45,0.15,0.09704,Controlled
2191.39,baixo,-277.6,0.92,0.47928,Controlled
2197.65,alto,-278.52,0.36,6.25649,Controlled
2197.89,moderado,-278.88,0.29,0.23993,Controlled
2198.85,alto,-279.17,0.99,0.9643,Controlled
2199.52,moderado,-280.16,0.08,0.67174,Controlled
2199.77,baixo,-280.24,1.97,0.24351,Controlled
2213.21,moderado,-282.21,0.36,13.4437,Controlled
2214.41,alto,-282.57,0.15,1.20042,Controlled
2214.51,baixo,-282.72,0.36,0.09682,Controlled
2216.91,alto,-283.08,0.15,2.40365,Controlled
2217.01,moderado,-283.23,0.15,0.09716,Controlled
2217.49,baixo,-283.38,0.85,0.48674,Controlled
2223.26,moderado,-284.23,0.22,5.7689,Controlled
2223.99,baixo,-284.45,3.37,0.7231,Controlled
2247.03,alto,-287.82,0.43,23.0402,Controlled
2247.31,moderado,-288.25,0.08,0.28786,Controlled
2247.56,baixo,-288.33,0.08,0.24079,Controlled
2248.03,moderado,-288.41,0.15,0.47933,Controlled
2248.52,baixo,-288.56,0.57,0.48059,Controlled
2252.36,moderado,-289.13,0.15,3.84415,Controlled
2252.84,baixo,-289.28,0.57,0.47965,Controlled
2256.68,moderado,-289.85,0.36,3.8439,Controlled
2257.88,baixo,-290.21,6.8,1.19951,Controlled
2304.48,alto,-297.01,0.29,46.5961,Controlled
2304.67,moderado,-297.3,0.08,0.1925,Controlled
2304.91,baixo,-297.38,0.08,0.24039,Controlled
2305.39,moderado,-297.46,0.15,0.48317,Controlled
2305.88,baixo,-297.61,1.9,0.48462,Controlled
2318.84,alto,-299.51,1.48,12.9641,Controlled
2319.86,moderado,-300.99,0.15,1.01179,Controlled
2320.34,baixo,-301.14,2.25,0.47963,Controlled
2335.7,moderado,-303.39,0.08,15.3644,Controlled
2335.94,baixo,-303.47,1.27,0.24422,Controlled
2344.59,moderado,-304.74,0.08,8.64395,Controlled
2344.83,baixo,-304.82,4.49,0.24345,Controlled
2375.64,moderado,-309.31,0.15,30.8047,Controlled
2376.12,baixo,-309.46,0.64,0.48378,Controlled
2380.45,moderado,-310.1,0.08,4.33501,Controlled
2380.7,baixo,-310.18,0.57,0.24105,Controlled
2384.54,alto,-310.75,1.2,3.84384,Controlled
2385.36,moderado,-311.95,0.5,0.81593,Controlled
2387.04,baixo,-312.45,0.58,1.68792,Controlled
3.28082,alto,95.16,0.43,0.25879,Non-controlled
3.56884,moderado,94.73,0.08,0.28802,Non-controlled
3.61735,baixo,94.65,0.22,0.04851,Non-controlled
3.76544,alto,94.43,1.13,0.14809,Non-controlled
4.53331,moderado,93.3,0.08,0.76787,Non-controlled
4.5809,baixo,93.22,4.77,0.04759,Non-controlled
7.85292,moderado,88.45,0.22,3.27203,Non-controlled
8.0007,baixo,88.23,4.7,0.14778,Non-controlled
11.2174,alto,83.53,0.85,3.21668,Non-controlled
11.7934,moderado,82.68,0.15,0.57605,Non-controlled
11.8897,baixo,82.53,0.99,0.09629,Non-controlled
12.5654,alto,81.54,0.22,0.67568,Non-controlled
12.7135,moderado,81.32,0.08,0.14807,Non-controlled
