Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor2,medio,27.7531,27.8371,0.0839371
Sensor3,medio,27.6574,27.8371,0.179775
Sensor4,medio,27.7654,27.8372,0.0718903
Sensor1,medio,27.8486,27.9351,0.0864324
Sensor3,medio,28.1571,28.3358,0.178735
Sensor4,medio,28.2629,28336,0.0731591
Sensor1,medio,28.3475,28435,0.0874966
Sensor0,medio,28.6399,28.8371,0.197145
Sensor2,medio,28.7515,28.8372,0.085668
Sensor3,medio,28.6572,28.8373,0.180138
Sensor4,medio,28.7633,28.8374,0.0740382
Sensor1,medio,28.8488,28.9351,0.0863256
Sensor3,medio,29.1571,29.3358,0.178753
Sensor4,medio,29.2631,29336,0.0729278
Sensor1,medio,29.3472,29.4351,0.0879166
Sensor0,medio,29.64,29837,0.197038
Sensor2,medio,29.7515,29.8371,0.0855967
Sensor3,medio,29.6574,29.8372,0.179783
Sensor4,medio,29.7632,29.8373,0.0740817
Sensor1,medio,29.8488,29.9351,0.0862503
Sensor3,medio,30.1573,30.3359,0.178523
Sensor4,medio,30.2631,30336,0.0729017
Sensor1,medio,30.3475,30.4351,0.0876057
Sensor0,medio,30.64,30837,0.196996
Sensor2,medio,30.7516,30.8371,0.0855282
Sensor3,medio,30.6575,30.8372,0.179718
Sensor4,medio,30.7634,30.8373,0.0739005
Sensor1,medio,30.8489,30.9351,0.0861966
Sensor3,medio,31.1572,31.3358,0.178672
Sensor4,medio,31.2631,31336,0.0729162
Sensor1,medio,31.3472,31.4351,0.0879705
Sensor0,medio,31.6401,31.8365,0.196355
Sensor2,medio,31.7516,31.8366,0.0849922
Sensor4,medio,31.7633,31.8366,0.0732945
Sensor1,medio,31.8482,31.9351,0.0868754
Sensor3,medio,32.1573,32.3358,0.178424
Sensor4,medio,32263,32.3359,0.0729104
Sensor1,medio,32.3474,32.4351,0.087686
Sensor0,medio,32.64,32.8365,0.196424
Sensor2,medio,32.7514,32.8366,0.0851499
Sensor4,medio,32.7632,32.8367,0.0734774
Sensor1,medio,32.8483,32.9351,0.0868236
Sensor3,medio,33.1571,33.3357,0.178621
Sensor4,medio,33263,33.3359,0.0728399
Sensor1,medio,33.3471,33.4351,0.0879318
Sensor0,medio,33.6399,33.8364,0.196413
Sensor2,medio,33.7515,33.8365,0.084983
Sensor4,medio,33.7632,33.8366,0.0733743
Sensor1,medio,33848,33935,0.087061
Sensor3,medio,34.1571,34.3358,0.178698
Sensor4,medio,34.2631,34.3359,0.072831
Sensor1,medio,34.3474,34.4351,0.087665
Sensor0,medio,34.64,34.8364,0.196456
Sensor2,medio,34.7515,34.8366,0.0851196
Sensor4,medio,34.7632,34.8367,0.0735139
Sensor1,medio,34.8481,34.9352,0.0871016
Sensor3,medio,35.1571,35.3357,0.178642
Sensor4,medio,35.2631,35.3359,0.072799
Sensor1,medio,35.3473,35.4351,0.0878453
Sensor0,medio,35.6399,35.8363,0.196412
Sensor2,medio,35.7514,35.8365,0.0851101
Sensor4,medio,35.7631,35.8367,0.0735427
Sensor1,medio,35.8479,35.9351,0.0872276
Sensor3,medio,36.1572,36.3358,0.178594
Sensor4,medio,36263,36.3359,0.0729846
