Tref:,1514237651,0.221379,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
3,bad,false,181.58,181.503,0.0777056
0,bad,false,183.381,183.285,0.0955486
9,bad,true,183.381,183.338,0.0432133
8,bad,false,183.78,183.732,0.0485832
2,bad,false,184.08,183.997,0.083314
6,bad,true,186.58,186.52,0.0602588
7,bad,false,190.28,190.226,0.0545388
5,bad,true,191.98,191.914,0.0660093
9,bad,false,193.88,193.838,0.0422915
4,bad,true,194.18,194.108,0.0717813
1,bad,false,195.38,195.191,0.188994
6,bad,false,197.28,197.22,0.0603054
3,bad,true,198.58,198.503,0.0775893
8,bad,true,198.78,198.732,0.0486359
0,bad,false,199.38,199.286,0.0945461
2,bad,true,199.58,199.497,0.0834165
5,bad,false,202.98,202.914,0.0658105
4,bad,false,205.08,205.008,0.0718605
7,bad,false,205.28,205.226,0.0542007
3,bad,false,208.88,208.803,0.0775109
2,bad,false,210.881,210.797,0.0842089
9,bad,false,210.881,210.837,0.0437826
8,bad,false,210.98,210.935,0.0450982
1,bad,true,211.38,211.191,0.189376
0,bad,false,215.38,215.285,0.0946955
5,bad,false,215.48,215.415,0.0648973
4,bad,true,218.58,218.508,0.07208
7,bad,true,218.78,218.726,0.054641
6,bad,true,219.28,219.22,0.0605613
3,bad,false,221.38,221.303,0.0776166
1,bad,false,221.78,221.591,0.189175
2,bad,false,223.88,223.797,0.0835776
8,bad,true,224.98,224.932,0.0486272
9,bad,true,225.38,225.337,0.042906
4,bad,false,228.88,228.809,0.071709
6,bad,false,230.28,230.22,0.0601408
7,bad,false,230.38,230.329,0.0514138
5,bad,false,230.48,230.416,0.064714
0,bad,true,232.38,232.285,0.0947216
1,bad,false,233.78,233.591,0.188854
8,bad,false,235.68,235.632,0.0486514
9,bad,false,237.08,237.037,0.043124
3,bad,true,239.38,239.303,0.0775613
2,bad,false,241.88,241.797,0.0836389
0,bad,false,242.78,242.685,0.0949131
4,bad,true,243.88,243.808,0.0719501
5,bad,true,245.48,245.414,0.0661164
6,bad,false,248.28,248.22,0.0600078
7,bad,false,249.38,249.326,0.054079
1,bad,true,249.78,249.591,0.188908
3,bad,false,250.18,250.102,0.0777585
8,bad,true,251.18,251.131,0.0489921
4,bad,false,254.78,254.708,0.071947
2,bad,true,254.88,254.798,0.0825319
5,bad,false,257.48,257.414,0.0662826
1,bad,false,260.18,259.991,0.189064
0,bad,true,260.78,260.686,0.0946602
8,bad,false,261.88,261.832,0.0483869
9,bad,true,264.08,264.038,0.0426408
6,bad,false,265.28,265.22,0.0601183
2,bad,false,265.48,265.397,0.0833219
3,bad,false,265.68,265.603,0.0775756
7,bad,true,267.88,267.826,0.0541463
4,bad,false,268.78,268.708,0.0718007
0,bad,false,271.28,271.185,0.094745
8,bad,false,274.88,274.832,0.0481067
9,bad,false,275.98,275.938,0.0427135
5,bad,false,276.48,276.414,0.0660584
1,bad,false,278.18,277.991,0.188911
7,medium,false,278.58,278.526,0.0544895
2,bad,true,279.48,279.397,0.0836385
3,bad,false,281.68,281.602,0.0776195
4,bad,false,282.78,282.708,0.0722121
6,bad,true,286.78,286.72,0.0600753
8,bad,false,289.88,289.831,0.0486733
9,bad,false,289.98,289.939,0.0409682
2,bad,false,290.08,289.998,0.0823667
1,bad,false,290.68,290.491,0.189014
5,bad,false,291.98,291.914,0.0662223
3,bad,false,293.18,293.102,0.0778271
7,bad,false,293.58,293.526,0.0545921
0,bad,false,295.28,295.185,0.0948183
4,bad,true,295.78,295.708,0.0718993
6,bad,false,297.28,297.22,0.0600993
8,bad,false,302.38,302.331,0.0488578
9,bad,false,303.48,303.437,0.0429217
1,bad,true,304.68,304.491,0.189035
5,bad,true,304.98,304.914,0.0660312
7,bad,false,306.08,306.026,0.0545577
