Tempo(s), Risco do Sensor, Nivel da Bateria, Diff(s),Mode,Cycle Time-Constraint,Confirmation Time-Constraint
170,moderado,30.51,0.650,(3 out of 5),Violated,Violated
174,alto,29.02,3.700,(3 out of 5),Violated,Violated
175,moderado,28.71,0.750,(3 out of 5),Violated,Violated
177,alto,28.02,1.700,(3 out of 5),Violated,Violated
177,moderado,27.71,0.750,(3 out of 5),Violated,Violated
181,baixo,26.24,3.650,(3 out of 5),Violated,Violated
181,moderado,26.19,0.101,(3 out of 5),Violated,Satisfied
182,alto,25.74,1.099,(3 out of 5),Violated,Violated
185,moderado,24.73,2.500,(3 out of 5),Violated,Violated
185,alto,24.54,0.451,(3 out of 5),Violated,Violated
189,moderado,22.95,3.949,(3 out of 5),Violated,Violated
189,alto,22.9,0.101,(3 out of 5),Violated,Satisfied
189,moderado,22.85,0.100,(3 out of 5),Satisfied,Satisfied
190,baixo,22.56,0.699,(3 out of 5),Violated,Violated
190,moderado,22.47,0.200,(3 out of 5),Violated,Satisfied
192,baixo,21.6,2.150,(3 out of 5),Violated,Violated
193,moderado,21.49,0.250,(3 out of 5),Violated,Violated
199,baixo,19,6.200,(3 out of 5),Violated,Violated
200,moderado,18.63,0.900,(3 out of 5),Violated,Violated
201,baixo,18.2,1.050,(3 out of 5),Violated,Violated
201,moderado,17.91,0.700,(3 out of 5),Violated,Violated
207,alto,15.68,5.550,(3 out of 5),Violated,Violated
208,moderado,15.31,0.900,(3 out of 5),Violated,Violated
210,baixo,14.28,2.551,(3 out of 5),Violated,Violated
212,moderado,13.69,1.449,(3 out of 5),Violated,Violated
216,alto,12.02,4.150,(3 out of 5),Violated,Violated
218,moderado,11.21,2.000,(3 out of 5),Violated,Violated
221,baixo,10.12,2.700,(3 out of 5),Violated,Violated
224,moderado,8.91,3.000,(3 out of 5),Violated,Violated
225,baixo,8.56,0.850,(3 out of 5),Violated,Violated
225,moderado,8.53,0.050,(3 out of 5),Satisfied,Satisfied
226,alto,8.02,1.250,(3 out of 5),Violated,Violated
227,moderado,7.75,0.650,(3 out of 5),Violated,Violated
227,alto,7.72,0.050,(3 out of 5),Satisfied,Satisfied
227,moderado,7.67,0.101,(3 out of 5),Violated,Satisfied
234,baixo,4.86,6.999,(3 out of 5),Violated,Violated
234,moderado,4.59,0.650,(3 out of 5),Violated,Violated
235,alto,4.38,0.500,(3 out of 5),Violated,Violated
238,moderado,2.91,3.650,(3 out of 5),Violated,Violated
242,alto,1.58,3.300,(3 out of 5),Violated,Violated
243,moderado,1.21,0.900,(3 out of 5),Violated,Violated
248,baixo,-0.86,5.150,(3 out of 5),Violated,Violated
248,moderado,-1.01,0.350,(3 out of 5),Violated,Violated
248,alto,-1.12,0.250,(3 out of 5),Violated,Satisfied
249,moderado,-1.27,0.352,(3 out of 5),Violated,Violated
252,alto,-2.64,3.398,(3 out of 5),Violated,Violated
253,moderado,-2.79,0.350,(3 out of 5),Violated,Violated
254,baixo,-3.5,1.750,(3 out of 5),Violated,Violated
255,moderado,-3.79,0.700,(3 out of 5),Violated,Violated
255,baixo,-3.86,0.150,(3 out of 5),Violated,Satisfied
255,moderado,-3.89,0.050,(3 out of 5),Satisfied,Satisfied
257,baixo,-4.5,1.500,(3 out of 5),Violated,Violated
258,moderado,-4.95,1.100,(3 out of 5),Violated,Violated
261,baixo,-6.26,3.251,(3 out of 5),Violated,Violated
261,moderado,-6.29,0.049,(3 out of 5),Satisfied,Satisfied
262,baixo,-6.68,0.950,(3 out of 5),Violated,Violated
263,moderado,-7.27,1.450,(3 out of 5),Violated,Violated
265,alto,-7.86,1.450,(3 out of 5),Violated,Violated
267,moderado,-8.59,1.800,(3 out of 5),Violated,Violated
267,alto,-8.62,0.050,(3 out of 5),Satisfied,Satisfied
270,moderado,-9.87,3.100,(3 out of 5),Violated,Violated
272,baixo,-10.72,2.100,(3 out of 5),Violated,Violated
273,moderado,-11.33,1.500,(3 out of 5),Violated,Violated
274,baixo,-11.36,0.050,(3 out of 5),Satisfied,Satisfied
274,moderado,-11.47,0.250,(3 out of 5),Violated,Satisfied
274,baixo,-11.66,0.450,(3 out of 5),Violated,Violated
275,moderado,-12.05,0.950,(3 out of 5),Violated,Violated
276,alto,-12.36,0.751,(3 out of 5),Violated,Violated
276,moderado,-12.53,0.399,(3 out of 5),Violated,Violated
280,alto,-14.04,3.750,(3 out of 5),Violated,Violated
280,moderado,-14.07,0.050,(3 out of 5),Satisfied,Satisfied
284,baixo,-15.5,3.551,(3 out of 5),Violated,Violated
284,moderado,-15.79,0.699,(3 out of 5),Violated,Violated
286,baixo,-16.28,1.200,(3 out of 5),Violated,Violated
287,moderado,-17.01,1.801,(3 out of 5),Violated,Violated
288,baixo,-17.08,0.149,(3 out of 5),Violated,Satisfied
288,moderado,-17.33,0.600,(3 out of 5),Violated,Violated
289,baixo,-17.58,0.600,(3 out of 5),Violated,Violated
291,moderado,-18.45,2.150,(3 out of 5),Violated,Violated
292,baixo,-18.86,1.000,(3 out of 5),Violated,Violated
292,moderado,-19.01,0.350,(3 out of 5),Violated,Violated
294,alto,-19.58,1.400,(3 out of 5),Violated,Violated
298,moderado,-21.29,4.250,(3 out of 5),Violated,Violated
300,baixo,-22.26,2.400,(3 out of 5),Violated,Violated
300,moderado,-22.29,0.051,(3 out of 5),Satisfied,Satisfied
302,baixo,-22.92,1.549,(3 out of 5),Violated,Violated
305,moderado,-24.29,3.400,(3 out of 5),Violated,Violated
