Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,280765,281005,0.240626
Sensor1,bom,281977,282217,0.239651
Sensor1,bom,283194,283434,0.239679
Sensor1,bom,284411,284648,0.237719
Sensor1,bom,285621,285858,0.23772
Sensor1,bom,286833,287072,0.239151
Sensor1,bom,288047,288285,0.238396
Sensor1,bom,289264,289505,0.241288
Sensor1,bom,290483,290724,0.240795
Sensor1,bom,291701,291941,0.24052
Sensor1,bom,292917,293156,0.239171
Sensor1,bom,294129,294367,0.238528
Sensor1,bom,295341,295578,0.237448
Sensor1,bom,296552,296.79,0.23837
Sensor1,bom,297764,298005,0.24114
Sensor1,bom,298977,299215,0.237895
Sensor1,bom,300189,300427,0.238885
Sensor1,bom,301405,301645,0.240057
Sensor1,bom,302619,302859,0.239759
Sensor1,bom,303833,304.07,0.23692
Sensor1,bom,305046,305285,0.238822
Sensor1,bom,306259,306497,0.238355
Sensor1,bom,307469,307709,0.240522
Sensor1,bom,308683,308924,0.240956
Sensor1,bom,309897,310137,0.240279
Sensor1,bom,311112,311351,0.238951
Sensor1,bom,312324,312563,0.239059
Sensor1,bom,313541,313781,0.239925
Sensor1,bom,314755,314992,0.237786
Sensor1,bom,315965,316204,0.238898
Sensor1,bom,317177,317416,0.239258
Sensor1,bom,318389,318628,0.239123
Sensor1,bom,319599,319836,0.237252
Sensor1,bom,320.81,321049,0.238497
Sensor1,bom,322025,322263,0.238347
Sensor1,bom,323239,323479,0.240428
Sensor1,bom,324457,324696,0.239338
Sensor1,bom,325673,325912,0.238575
Sensor2,bom,7.64691,7.73027,0.0833602
Sensor2,bom,8.6465,8.73041,0.083906
Sensor2,bom,9.65198,9.73035,0.0783632
Sensor2,bom,10.6522,10731,0.0788422
Sensor2,bom,11.6523,11.7339,0.0815624
Sensor2,bom,12.6542,12.7311,0.076867
Sensor2,bom,13.6594,13.7312,0.0718229
Sensor2,bom,14.6654,14731,0.0656135
Sensor2,bom,15.6807,15.7311,0.0503194
Sensor2,bom,16.6782,16.7312,0.0530406
Sensor2,bom,17.7446,17.7935,0.0489578
Sensor2,bom,18.8301,18879,0.0489478
Sensor2,bom,19.9953,20.0463,0.0509982
Sensor2,bom,21.2059,21.2553,0.0493732
Sensor2,bom,22.4197,22.4694,0.049708
Sensor2,bom,23.6318,23.6813,0.0495254
Sensor2,bom,24.8422,24.8919,0.0496933
Sensor2,bom,26.0578,26.1073,0.0494796
Sensor2,bom,27.2659,27.3161,0.0501879
Sensor2,bom,28.4765,28.5261,0.0496508
Sensor2,bom,29.6875,29.7372,0.0497289
Sensor2,bom,30.8993,30.9492,0.0498491
Sensor2,bom,32.1137,32.1635,0.0498606
Sensor2,bom,33.3277,33.3776,0.0498608
Sensor2,bom,34.5427,34.5925,0.0498406
Sensor2,bom,35.7583,35.8081,0.0497387
Sensor2,bom,36.9704,37.0198,0.0494094
Sensor2,bom,38.1851,38235,0.0498403
Sensor2,bom,39.3982,39.4477,0.049578
Sensor2,bom,40612,40.6614,0.0494541
Sensor2,bom,41.8255,41.8752,0.0497015
Sensor2,bom,43.0391,43.0895,0.0503492
Sensor2,bom,44.2514,44.3011,0.0496656
Sensor2,bom,45.4636,45.5133,0.0496322
Sensor2,bom,46.6751,46.7251,0.0500539
Sensor2,bom,47.8909,47.9409,0.0500208
Sensor2,bom,49.1031,49.1528,0.0496735
Sensor2,bom,50.3146,50.3644,0.0497694
Sensor2,bom,51.5285,51578,0.0495179
Sensor2,bom,52.7358,52.7851,0.0493563
Sensor2,bom,53.9462,53.9959,0.0496664
Sensor2,bom,55.1551,55.2048,0.0497091
Sensor2,bom,56.3662,56416,0.049772
Sensor2,bom,57.5804,57.6299,0.0494442
Sensor2,bom,58.7936,58.8435,0.0498761
Sensor2,bom,60.0076,60.0573,0.0497188
Sensor2,bom,61.2157,61.2656,0.0498914
Sensor2,bom,62.4287,62.4784,0.0496251
Sensor2,bom,63.6432,63.6929,0.0497428
Sensor2,bom,64.8534,64.9032,0.0498162
Sensor2,bom,66.0673,66.1171,0.0498342
Sensor2,bom,67.2818,67.3313,0.0495333
