@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,ruim,49.7677,49.9702,0.20246,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,50.2738,50.4759,0.20211,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,50.7751,50.9742,0.19909,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,51.2735,51.4757,0.20221,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,51.7889,51.99,0.20109,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,52.2879,52.4843,0.19635,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,52.8033,52.9969,0.19361,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,53.3037,53.4776,0.17393,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,53.7764,53.9734,0.19708,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,54.2738,54.4847,0.21084,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,54.7828,54.9852,0.2025,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,55.2825,55.4818,0.19928,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,55.7833,55984,0.2007,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,56.2836,56.4853,0.20168,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,56.7942,56.9908,0.19663,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,57.2939,57.4949,0.20098,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,57.7888,58,0.21117,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,58.2869,58.5029,0.21599,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,58.7966,59.0019,0.2053,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,59.3035,59.5052,0.20163,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,59786,59.9885,0.20248,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,60281,60.4838,0.20279,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,60.7801,60.9806,0.20048,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,61.2818,61483,0.20119,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,61.7854,61.9849,0.19949,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,62.2823,62.4821,0.19977,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,62.7818,62.9797,0.19785,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,63.2807,63.4805,0.19979,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,63783,63.9829,0.19992,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,64.2814,64484,0.20256,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,64.8043,64.9868,0.1825,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,65289,65.4879,0.19887,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,65.7908,65.9881,0.1973,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,66.2896,66.4896,0.20003,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,66788,66988,0.2,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,67.2875,67.4896,0.20206,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,67.7926,67985,0.19243,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,68.29,68.4891,0.19909,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,68.7991,68.9965,0.19735,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,69.3039,69.4992,0.19533,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,69.8091,70.0098,0.20071,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,70.3244,70.5279,0.20347,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,70.8342,70.9863,0.1521,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,71.2913,71.4872,0.19593,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,71.7891,71.9872,0.19802,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,71.8919,72.0884,0.1965,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,71.9929,72.1914,0.19851,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,72.0967,72.2874,0.19073,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,72.1974,72.3881,0.19069,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,72.2939,72.4882,0.1943,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,72.3947,72.5877,0.19298,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,72.4943,72.6917,0.19744,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,72.5942,72.7865,0.19237,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,73.0927,73.2842,0.1915,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,73.5937,73.7847,0.19102,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,74.0988,74.29,0.1912,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,74.5951,74789,0.1939,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,75.0956,75.2905,0.19489,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,75.5965,75.7886,0.19212,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,76.0946,76.2879,0.19326,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,76.5967,76.7959,0.19921,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,77.1007,77.2897,0.18897,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,77.6016,77.7945,0.19292,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,78.0986,78.2903,0.19175,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,78.5988,78.8056,0.20672,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,79.1151,79.2982,0.18311,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,79.6139,79.8087,0.19488,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,80.0961,80.2934,0.19725,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,80.6356,80.8549,0.21926,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,81.2029,81.4103,0.2074,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,81.6954,81867,0.17155,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,82.1368,82.2997,0.16295,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,82.6015,82.7932,0.19165,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,83.1008,83.2898,0.18901,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,83.6007,83.7912,0.19056,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,84.1017,84.2874,0.18569,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,84.6013,84.7933,0.19292,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,85.1463,85325,0.17865,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,85.6171,85.8045,0.18737,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,86.1053,86.2962,0.1909,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,86.6037,86.7984,0.19466,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,87.11,87.2975,0.1875,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,87.6353,87841,0.20572,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,88.1641,88.3603,0.19611,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,88.6675,88.8643,0.19679,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,89.1845,89.3795,0.19502,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,89.7461,89.9845,0.23839,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,90.3581,90.5873,0.22915,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,90.8881,91.0739,0.18578,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,91.3663,91.5456,0.17932,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,91.8397,92022,0.18234,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,92.3137,92.4895,0.17573,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,92.7765,92.9624,0.18586,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,93.3086,93.5031,0.19457,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,93.8193,94.0179,0.19859,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,94.3382,94.5325,0.19435,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,94.8489,95.0504,0.2015,twenty,'Real-time OFF',VIOLATED,SATISFIED
