Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,medio,250.31,250599,0.289036
Sensor0,medio,251048,251337,0.289141
Sensor0,medio,251767,252.06,0.292403
Sensor0,medio,252518,252812,0.294569
Sensor0,medio,253247,253531,0.284199
Sensor0,medio,253989,254281,0.291831
Sensor0,medio,254718,255008,0.290067
Sensor0,medio,255463,255748,0.285825
Sensor0,medio,256184,256466,0.281832
Sensor0,medio,256929,257204,0.275163
Sensor0,medio,257633,257923,0.289837
Sensor0,medio,258377,258673,0.29551
Sensor0,medio,259107,259391,0.283738
Sensor0,medio,259853,260147,0.294308
Sensor0,medio,260579,260869,0.290789
Sensor0,medio,261333,261.63,0.296818
Sensor0,medio,262077,262368,0.290723
Sensor0,medio,262845,263126,0.280991
Sensor0,medio,263564,263.85,0.286491
Sensor0,medio,264318,264617,0.298819
Sensor0,medio,265056,265343,0.287516
Sensor0,medio,265.81,266097,0.286524
Sensor0,medio,266541,266.83,0.289051
Sensor0,medio,267289,267584,0.295524
Sensor0,medio,268024,268311,0.286562
Sensor0,medio,268768,269051,0.283717
Sensor0,medio,269493,269775,0.282939
Sensor0,medio,270238,270532,0.293595
Sensor0,ruim,270973,271.26,0.287259
Sensor0,ruim,271121,271405,0.283988
Sensor0,medio,271267,271561,0.293723
Sensor0,medio,272023,272298,0.275273
Sensor0,medio,272734,273022,0.288591
Sensor0,medio,273482,273772,0.290076
Sensor0,medio,274223,274524,0.300281
Sensor0,medio,274992,275288,0.295619
Sensor0,medio,275741,276041,0.299268
Sensor0,medio,276507,276799,0.292524
Sensor0,medio,277251,277544,0.292358
Sensor0,medio,277997,278285,0.288048
Sensor0,medio,278728,279025,0.296414
Sensor0,medio,279.48,279776,0.295627
Sensor0,medio,280211,280507,0.296166
Sensor0,medio,280959,281245,0.285285
Sensor0,medio,281684,281.98,0.296019
Sensor0,medio,282429,282714,0.285486
Sensor0,medio,283164,283458,0.293797
Sensor0,medio,283922,284224,0.301222
Sensor0,medio,284664,284962,0.29883
Sensor0,medio,285414,285709,0.294885
Sensor0,ruim,286938,287232,0.294053
Sensor0,medio,288445,288732,0.28717
Sensor0,medio,289918,290211,0.292995
Sensor0,medio,291404,291687,0.282396
Sensor0,medio,292874,293153,0.279851
Sensor0,medio,294367,294654,0.287623
Sensor0,medio,295844,296127,0.282289
Sensor0,medio,297325,297605,0.280276
Sensor0,medio,298823,299118,0.29468
Sensor0,medio,300317,300604,0.286325
Sensor0,medio,301792,302076,0.283965
Sensor0,medio,303308,303592,0.284027
Sensor0,medio,304795,305081,0.285229
Sensor0,medio,306312,306603,0.290744
Sensor0,ruim,307066,307369,0.303531
Sensor0,ruim,307843,308146,0.302414
Sensor0,ruim,308626,308926,0.300138
Sensor0,ruim,309416,309726,0.309481
Sensor0,ruim,310208,310517,0.308534
Sensor0,ruim,310996,311302,0.305745
Sensor0,ruim,311762,312.06,0.298397
Sensor0,ruim,312528,312825,0.297043
Sensor0,ruim,313288,313586,0.29808
Sensor0,ruim,314053,314346,0.292842
Sensor0,ruim,314814,315119,0.304876
Sensor0,ruim,315603,315907,0.304243
Sensor0,ruim,316379,316686,0.307883
Sensor0,ruim,317153,317467,0.313908
Sensor0,ruim,317948,318264,0.315606
Sensor0,ruim,318.75,319066,0.316072
Sensor0,ruim,319552,319863,0.311317
Sensor0,ruim,320341,320.66,0.318497
Sensor0,ruim,321156,321478,0.322759
Sensor0,ruim,321958,322264,0.305158
Sensor0,ruim,322732,323044,0.311852
Sensor0,ruim,323521,323.83,0.308894
Sensor0,ruim,324303,324.61,0.307002
Sensor0,medio,325086,325387,0.30104
Sensor0,medio,325853,326163,0.310224
Sensor0,medio,326625,326922,0.296651
Sensor0,medio,327371,327668,0.297427
Sensor0,medio,328.12,328416,0.295901
Sensor0,medio,328869,329164,0.295391
Sensor0,medio,329616,329909,0.292761
Sensor0,medio,330358,330652,0.293857
Sensor0,medio,331107,331404,0.297215
Sensor0,medio,331856,332158,0.302576
Sensor0,medio,332616,332923,0.306261
Sensor0,medio,333376,333672,0.295709
Sensor0,ruim,334123,334429,0.305773
Sensor0,medio,334905,335219,0.314406
Sensor0,medio,335699,336022,0.323267
Sensor0,medio,336506,336824,0.317929
Sensor0,medio,337.3,337.61,0.310511
Sensor0,medio,338076,338385,0.309343
Sensor0,ruim,338867,339181,0.314383
Sensor0,ruim,339668,339979,0.31077
Sensor0,ruim,340454,340782,0.327255
Sensor0,ruim,341247,341564,0.317485
Sensor0,medio,342039,342343,0.303189
Sensor0,medio,342812,343117,0.304176
Sensor0,medio,343572,343875,0.302267
Sensor0,medio,344333,344639,0.306073
Sensor0,medio,345104,345411,0.306877
Sensor0,medio,345.86,346165,0.305913
Sensor0,medio,346619,346.92,0.300628
Sensor0,medio,347377,347676,0.299731
Sensor0,medio,348134,348435,0.300345
Sensor0,medio,348882,349185,0.302617
Sensor0,medio,349639,349941,0.302122
Sensor0,medio,350391,350695,0.303677
Sensor0,medio,351138,351434,0.295931
Sensor0,medio,351883,352.18,0.297052
Sensor0,medio,352632,352929,0.297689
Sensor0,medio,353382,353684,0.302122
Sensor0,medio,354133,354431,0.297397
Sensor0,medio,354883,355185,0.302192
Sensor0,medio,355655,355958,0.303585
Sensor0,medio,356421,356736,0.314824
Sensor0,medio,357204,357516,0.312076
Sensor0,medio,357966,358282,0.315629
Sensor0,medio,358742,359047,0.30572
Sensor0,medio,359494,359805,0.310581
Sensor0,medio,360275,360576,0.3008
Sensor0,medio,361024,361343,0.318988
Sensor0,medio,361806,362116,0.30966
Sensor0,medio,362583,362901,0.317797
Sensor0,medio,363.38,363687,0.306689
Sensor0,medio,364148,364466,0.318301
Sensor0,medio,364.92,365227,0.307053
Sensor0,medio,365671,365982,0.310977
Sensor0,medio,366433,366.74,0.306645
Sensor0,medio,367191,367506,0.314585
Sensor0,medio,367965,368271,0.305699
Sensor0,medio,368724,369039,0.314201
Sensor0,medio,369485,369794,0.30875
Sensor0,ruim,370244,370564,0.31957
Sensor0,medio,371788,372102,0.313699
Sensor0,medio,373315,373626,0.311798
Sensor0,medio,374816,375121,0.304767
Sensor0,medio,376323,376622,0.299882
Sensor0,medio,377821,378123,0.302028
Sensor0,medio,379.31,379.61,0.299302
Sensor0,medio,380833,381137,0.304055
Sensor0,medio,382353,382654,0.301373
Sensor0,medio,383833,384141,0.307462
Sensor0,medio,385389,385707,0.318432
Sensor0,medio,386986,387308,0.321633
Sensor0,medio,388537,388851,0.314602
Sensor0,ruim,390.08,390398,0.317962
Sensor0,ruim,391614,391926,0.312033
Sensor0,ruim,393142,393456,0.313966
Sensor0,ruim,394673,394973,0.300308
Sensor0,ruim,396175,396.48,0.305616
Sensor0,ruim,397.68,397985,0.304911
Sensor0,ruim,399.18,399485,0.30452
Sensor0,bom,400673,400.97,0.297076
Sensor0,bom,402.14,402444,0.30404
Sensor0,bom,403637,403932,0.295276
Sensor0,bom,405109,405406,0.296513
Sensor0,bom,406584,406881,0.29703
Sensor0,ruim,408087,408392,0.3053
Sensor0,ruim,409592,409897,0.305122
Sensor0,ruim,411116,411415,0.298803
Sensor0,ruim,411868,412171,0.303062
Sensor0,ruim,412639,412942,0.302703
Sensor0,ruim,413394,413695,0.301183
Sensor0,medio,414158,414443,0.285634
Sensor0,medio,414885,415167,0.281886
Sensor0,medio,415617,415901,0.284599
Sensor0,medio,416346,416635,0.289012
Sensor0,medio,417094,417396,0.302178
Sensor0,medio,417856,418.16,0.304196
Sensor0,medio,418625,418927,0.302235
Sensor0,medio,419381,419676,0.295032
Sensor0,medio,420.14,420436,0.296045
Sensor0,medio,420885,421181,0.296052
Sensor0,medio,421652,421943,0.291068
Sensor0,medio,422395,422688,0.292583
Sensor0,medio,423149,423.44,0.291584
Sensor0,medio,423.89,424194,0.303647
Sensor0,medio,424668,424962,0.29462
Sensor0,ruim,425429,425738,0.308384
Sensor0,ruim,426216,426525,0.308563
Sensor0,medio,426.99,427291,0.300991
Sensor0,ruim,427.78,428086,0.306942
Sensor0,ruim,428.56,428876,0.315232
Sensor0,ruim,429363,429677,0.314064
Sensor0,ruim,430156,430.47,0.31445
Sensor0,ruim,430951,431249,0.298006
Sensor0,ruim,431722,432021,0.298424
Sensor0,ruim,432503,432803,0.299469
Sensor0,medio,433263,433571,0.308504
Sensor0,medio,434056,434364,0.30846
Sensor0,medio,434858,435162,0.304012
Sensor0,medio,435647,435951,0.303786
Sensor0,medio,436434,436743,0.308644
Sensor0,medio,437222,437525,0.30232
Sensor0,medio,437998,438.3,0.30233
Sensor0,medio,438.77,439079,0.309001
Sensor0,medio,439551,439852,0.300995
Sensor0,medio,440333,440634,0.30059
Sensor0,medio,441113,441419,0.306638
Sensor0,ruim,441902,442213,0.311168
Sensor0,medio,442691,443001,0.310436
Sensor0,ruim,443487,443793,0.305679
Sensor0,ruim,444267,444578,0.310682
Sensor0,ruim,445062,445375,0.313679
Sensor0,ruim,445853,446151,0.298175
Sensor0,ruim,446621,446918,0.296746
Sensor0,ruim,447382,447676,0.294037
Sensor0,ruim,448149,448446,0.297478
Sensor0,ruim,448295,448601,0.30577
Sensor0,ruim,448452,448757,0.305187
Sensor0,ruim,448607,448914,0.306667
Sensor0,ruim,448764,449061,0.297357
Sensor0,ruim,448.92,449225,0.305085
Sensor0,ruim,449068,449376,0.307494
Sensor0,ruim,449231,449531,0.300061
Sensor0,ruim,449384,449685,0.301644
Sensor0,ruim,449538,449834,0.296324
Sensor0,ruim,449692,450002,0.310195
Sensor0,ruim,449.84,450168,0.327863
Sensor0,ruim,450009,450315,0.306881
Sensor0,ruim,450176,450473,0.296967
Sensor0,ruim,450321,450626,0.304408
Sensor0,ruim,450.48,450788,0.308289
Sensor0,ruim,450633,450941,0.307542
Sensor0,ruim,450797,451095,0.297901
Sensor0,ruim,450948,451245,0.297338
