﻿Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s),Sensors,Cycle Time Constraint,Emergency Detection Time Constraint
Sensor0,ruim,275.982,276.101,0.11906,twenty,VIOLATED,SATISFIED
Sensor0,ruim,276.231,276.351,0.12031,twenty,VIOLATED,SATISFIED
Sensor0,ruim,277.234,277.351,0.11703,twenty,VIOLATED,SATISFIED
Sensor0,ruim,278.096,278.215,0.11829,twenty,VIOLATED,SATISFIED
Sensor0,medio,283.979,284.114,0.13537,twenty,VIOLATED,SATISFIED
Sensor0,ruim,284.26,284.396,0.13553,twenty,VIOLATED,SATISFIED
Sensor0,medio,284.676,284.806,0.12982,twenty,VIOLATED,SATISFIED
Sensor0,ruim,285.095,285.223,0.12734,twenty,VIOLATED,SATISFIED
Sensor0,ruim,285.229,285.36,0.13075,twenty,VIOLATED,SATISFIED
Sensor0,ruim,285.505,285.637,0.13114,twenty,VIOLATED,SATISFIED
Sensor0,ruim,292.38,292.499,0.11957,twenty,VIOLATED,SATISFIED
Sensor0,ruim,292.505,292.628,0.12251,twenty,VIOLATED,SATISFIED
Sensor0,ruim,297.004,297.127,0.1234,twenty,VIOLATED,SATISFIED
Sensor0,medio,297.264,297.387,0.12339,twenty,VIOLATED,SATISFIED
Sensor0,ruim,297.393,297.52,0.12685,twenty,VIOLATED,SATISFIED
Sensor0,ruim,299.14,299.258,0.11804,twenty,VIOLATED,SATISFIED
Sensor0,medio,301.273,301.399,0.1265,twenty,VIOLATED,SATISFIED
Sensor0,ruim,301.406,301.531,0.12419,twenty,VIOLATED,SATISFIED
Sensor0,ruim,304.669,304.798,0.12917,twenty,VIOLATED,SATISFIED
Sensor0,medio,305.318,305.441,0.12339,twenty,VIOLATED,SATISFIED
Sensor0,ruim,305.447,305.569,0.1225,twenty,VIOLATED,SATISFIED
Sensor0,ruim,306.561,306.684,0.1237,twenty,VIOLATED,SATISFIED
Sensor0,ruim,306.69,306.813,0.12315,twenty,VIOLATED,SATISFIED
Sensor0,ruim,312.736,312.862,0.12667,twenty,VIOLATED,SATISFIED
Sensor0,ruim,313.406,313.528,0.12131,twenty,VIOLATED,SATISFIED
Sensor0,ruim,316.536,316.657,0.12084,twenty,VIOLATED,SATISFIED
Sensor0,ruim,316.788,316.907,0.11982,twenty,VIOLATED,SATISFIED
Sensor0,ruim,317.416,317.536,0.11938,twenty,VIOLATED,SATISFIED
Sensor0,bom,319.349,319.469,0.11966,twenty,VIOLATED,SATISFIED
Sensor0,ruim,324.165,324.307,0.14184,twenty,VIOLATED,SATISFIED
Sensor0,ruim,329.182,329.299,0.11759,twenty,VIOLATED,SATISFIED
Sensor0,ruim,329.433,329.557,0.12326,twenty,VIOLATED,SATISFIED
Sensor0,ruim,343.154,343.276,0.12185,twenty,VIOLATED,SATISFIED
Sensor0,ruim,344.175,344.295,0.12024,twenty,VIOLATED,SATISFIED
Sensor0,medio,344.428,344.55,0.12234,twenty,VIOLATED,SATISFIED
Sensor0,ruim,346.329,346.451,0.12189,twenty,VIOLATED,SATISFIED
Sensor0,medio,349.689,349.813,0.12478,twenty,VIOLATED,SATISFIED
Sensor0,bom,349.819,349.95,0.13126,twenty,VIOLATED,SATISFIED
Sensor0,ruim,359.475,359.594,0.11953,twenty,VIOLATED,SATISFIED
Sensor0,medio,360.133,360.26,0.12756,twenty,VIOLATED,SATISFIED
Sensor0,ruim,360.266,360.391,0.1247,twenty,VIOLATED,SATISFIED
Sensor0,ruim,362.289,362.416,0.12639,twenty,VIOLATED,SATISFIED
Sensor0,medio,363.704,363.83,0.1261,twenty,VIOLATED,SATISFIED
Sensor0,medio,363.973,364.1,0.12769,twenty,VIOLATED,SATISFIED
Sensor0,ruim,367.513,367.63,0.11724,twenty,VIOLATED,SATISFIED
Sensor0,ruim,369.288,369.412,0.12395,twenty,VIOLATED,SATISFIED
Sensor0,ruim,369.68,369.802,0.12227,twenty,VIOLATED,SATISFIED
Sensor0,ruim,372.319,372.446,0.12749,twenty,VIOLATED,SATISFIED
Sensor0,medio,372.453,372.582,0.12861,twenty,VIOLATED,SATISFIED
Sensor0,ruim,376.556,376.682,0.12611,twenty,VIOLATED,SATISFIED
Sensor0,medio,377.367,377.491,0.12428,twenty,VIOLATED,SATISFIED
Sensor0,ruim,378.136,378.262,0.12547,twenty,VIOLATED,SATISFIED
Sensor0,medio,378.654,378.772,0.11761,twenty,VIOLATED,SATISFIED
Sensor0,ruim,379.037,379.162,0.12505,twenty,VIOLATED,SATISFIED
Sensor0,medio,381.388,381.516,0.12842,twenty,VIOLATED,SATISFIED
Sensor0,bom,381.522,381.649,0.12683,twenty,VIOLATED,SATISFIED
Sensor0,medio,387.76,387.896,0.1362,twenty,VIOLATED,SATISFIED
Sensor0,bom,387.902,388.038,0.13645,twenty,VIOLATED,SATISFIED
Sensor0,medio,396.177,396.299,0.12159,twenty,VIOLATED,SATISFIED
Sensor0,medio,396.817,396.937,0.11986,twenty,VIOLATED,SATISFIED
Sensor0,ruim,400.204,400.337,0.13368,twenty,VIOLATED,SATISFIED
Sensor0,ruim,402.497,402.632,0.13555,twenty,VIOLATED,SATISFIED
Sensor0,medio,402.926,403.062,0.13565,twenty,VIOLATED,SATISFIED
Sensor0,ruim,407.505,407.63,0.12462,twenty,VIOLATED,SATISFIED
Sensor0,ruim,407.636,407.764,0.12797,twenty,VIOLATED,SATISFIED
Sensor0,medio,408.451,408.581,0.12969,twenty,VIOLATED,SATISFIED
Sensor0,medio,408.731,408.863,0.13191,twenty,VIOLATED,SATISFIED
Sensor0,ruim,414.281,414.402,0.12064,twenty,VIOLATED,SATISFIED
Sensor0,ruim,415.054,415.175,0.1203,twenty,VIOLATED,SATISFIED
Sensor0,ruim,415.434,415.556,0.12184,twenty,VIOLATED,SATISFIED
Sensor0,medio,415.822,415.939,0.11685,twenty,VIOLATED,SATISFIED
Sensor0,ruim,416.937,417.057,0.12033,twenty,VIOLATED,SATISFIED
Sensor0,ruim,417.563,417.682,0.11919,twenty,VIOLATED,SATISFIED
Sensor0,ruim,417.945,418.066,0.12081,twenty,VIOLATED,SATISFIED
Sensor0,ruim,418.318,418.435,0.11643,twenty,VIOLATED,SATISFIED
Sensor0,ruim,418.566,418.697,0.1301,twenty,VIOLATED,SATISFIED
Sensor0,ruim,418.704,418.84,0.13583,twenty,VIOLATED,SATISFIED
Sensor0,ruim,418.988,419.122,0.13397,twenty,VIOLATED,SATISFIED
Sensor0,ruim,420.424,420.558,0.1341,twenty,VIOLATED,SATISFIED
Sensor0,ruim,420.564,420.714,0.14974,twenty,VIOLATED,SATISFIED
Sensor0,medio,421.014,421.154,0.13999,twenty,VIOLATED,SATISFIED
Sensor0,ruim,421.304,421.438,0.13373,twenty,VIOLATED,SATISFIED
Sensor0,ruim,443.499,443.626,0.12625,twenty,VIOLATED,SATISFIED
Sensor0,medio,444.194,444.321,0.1278,twenty,VIOLATED,SATISFIED
Sensor0,ruim,444.328,444.464,0.13681,twenty,VIOLATED,SATISFIED
Sensor0,medio,444.888,445.014,0.1263,twenty,VIOLATED,SATISFIED
Sensor0,ruim,451.107,451.236,0.12965,twenty,VIOLATED,SATISFIED
Sensor0,medio,451.931,452.061,0.13053,twenty,VIOLATED,SATISFIED
Sensor0,medio,452.889,453.021,0.13218,twenty,VIOLATED,SATISFIED
Sensor0,ruim,455.403,455.531,0.12757,twenty,VIOLATED,SATISFIED
Sensor0,ruim,456.538,456.676,0.13831,twenty,VIOLATED,SATISFIED
Sensor0,ruim,456.683,456.82,0.13695,twenty,VIOLATED,SATISFIED
Sensor0,ruim,461.065,461.184,0.1194,twenty,VIOLATED,SATISFIED
Sensor0,ruim,461.19,461.309,0.11887,twenty,VIOLATED,SATISFIED
Sensor0,ruim,462.724,462.852,0.12786,twenty,VIOLATED,SATISFIED
Sensor0,medio,464.111,464.231,0.11996,twenty,VIOLATED,SATISFIED
Sensor0,ruim,464.365,464.486,0.1205,twenty,VIOLATED,SATISFIED
Sensor0,ruim,465.611,465.729,0.11816,twenty,VIOLATED,SATISFIED
Sensor0,ruim,465.735,465.86,0.12504,twenty,VIOLATED,SATISFIED
Sensor0,ruim,468.379,468.501,0.12174,twenty,VIOLATED,SATISFIED
Sensor0,bom,468.637,468.762,0.12439,twenty,VIOLATED,SATISFIED
Sensor0,ruim,472.798,472.925,0.12624,twenty,VIOLATED,SATISFIED
Sensor0,medio,474.471,474.594,0.12266,twenty,VIOLATED,SATISFIED
Sensor0,bom,475.104,475.22,0.11691,twenty,VIOLATED,SATISFIED
Sensor0,ruim,478.712,478.833,0.12024,twenty,VIOLATED,SATISFIED
Sensor0,ruim,478.969,479.093,0.12333,twenty,VIOLATED,SATISFIED
Sensor0,medio,481.505,481.63,0.12454,twenty,VIOLATED,SATISFIED
Sensor0,ruim,482.14,482.265,0.12487,twenty,VIOLATED,SATISFIED
Sensor0,ruim,485.036,485.157,0.12134,twenty,VIOLATED,SATISFIED
Sensor0,ruim,485.531,485.648,0.11627,twenty,VIOLATED,SATISFIED
Sensor0,ruim,486.03,486.149,0.11875,twenty,VIOLATED,SATISFIED
Sensor0,medio,486.154,486.279,0.12456,twenty,VIOLATED,SATISFIED
Sensor0,ruim,489.577,489.7,0.12302,twenty,VIOLATED,SATISFIED
Sensor0,ruim,490.222,490.344,0.12206,twenty,VIOLATED,SATISFIED
Sensor0,medio,490.477,490.597,0.11988,twenty,VIOLATED,SATISFIED
Sensor0,ruim,494.032,494.151,0.11912,twenty,VIOLATED,SATISFIED
Sensor0,medio,494.661,494.785,0.1245,twenty,VIOLATED,SATISFIED
Sensor0,ruim,495.413,495.534,0.12103,twenty,VIOLATED,SATISFIED
Sensor0,medio,498.41,498.53,0.1199,twenty,VIOLATED,SATISFIED
Sensor0,ruim,498.787,498.91,0.12234,twenty,VIOLATED,SATISFIED
Sensor0,ruim,499.672,499.794,0.12188,twenty,VIOLATED,SATISFIED
