Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,184273,184368,0.0949632
Sensor0,bom,185273,185368,0.0948495
Sensor0,bom,186273,186368,0.094891
Sensor0,bom,187273,187368,0.094898
Sensor0,bom,188273,188368,0.0949271
Sensor0,bom,189273,189368,0.0948026
Sensor0,bom,190273,190368,0.0949235
Sensor0,bom,191273,191368,0.0948378
Sensor0,bom,192273,192368,0.0950468
Sensor0,bom,193273,193368,0.0949005
Sensor0,bom,194273,194368,0.0948706
Sensor0,bom,195273,195368,0.0948865
Sensor0,bom,196273,196368,0.0948706
Sensor0,bom,197273,197368,0.0949842
Sensor0,bom,198273,198368,0.0949857
Sensor0,bom,199273,199368,0.0949913
Sensor0,bom,200273,200368,0.0949964
Sensor0,bom,201273,201368,0.0949228
Sensor0,bom,202273,202368,0.0949692
Sensor0,bom,203273,203368,0.094981
Sensor0,bom,204273,204368,0.094898
Sensor0,bom,205273,205368,0.0949306
Sensor0,bom,206273,206368,0.0948586
Sensor0,bom,207273,207368,0.0948198
Sensor0,bom,208273,208368,0.0948972
Sensor0,bom,209273,209368,0.0949478
Sensor0,bom,210273,210368,0.0949327
Sensor0,bom,211273,211368,0.0949372
Sensor0,bom,212273,212368,0.0949819
Sensor0,bom,213273,213368,0.0949213
Sensor0,bom,214273,214368,0.0949399
Sensor0,bom,215273,215368,0.09503
Sensor0,bom,216273,216368,0.0949583
Sensor0,bom,217273,217368,0.0949092
Sensor0,bom,218273,218368,0.0948812
Sensor0,bom,219273,219368,0.0949571
Sensor0,bom,220273,220368,0.0948897
Sensor0,bom,221273,221368,0.0948517
Sensor0,bom,222273,222368,0.0947694
Sensor0,bom,223273,223368,0.0948447
Sensor0,bom,224273,224368,0.0948083
Sensor0,bom,225273,225368,0.0950127
Sensor0,bom,226273,226368,0.09488
Sensor0,bom,227273,227368,0.0948266
Sensor0,bom,228273,228368,0.0948531
Sensor0,bom,229273,229368,0.0949766
Sensor0,bom,230273,230368,0.0948698
Sensor0,bom,231273,231368,0.0948924
Sensor0,bom,232273,232368,0.0949311
Sensor0,bom,233273,233368,0.0949516
Sensor0,bom,234273,234368,0.0948749
Sensor0,bom,235273,235368,0.0948322
Sensor0,bom,236273,236368,0.0949635
Sensor0,bom,237273,237368,0.0948197
Sensor0,bom,238273,238368,0.0948478
Sensor0,bom,239273,239368,0.0948618
Sensor0,bom,240273,240368,0.0949082
Sensor0,bom,241273,241368,0.0948048
Sensor0,bom,242273,242368,0.0948826
Sensor0,bom,243273,243368,0.094892
Sensor0,bom,244273,244368,0.0948267
Sensor0,bom,245273,245368,0.0949605
Sensor0,bom,246273,246368,0.0949098
Sensor0,bom,247273,247368,0.0948703
Sensor0,bom,248273,248368,0.0948842
Sensor0,bom,249273,249368,0.0949334
Sensor0,bom,250273,250368,0.0948838
Sensor0,bom,251273,251368,0.0948054
Sensor0,bom,252273,252368,0.0948638
Sensor0,bom,253273,253368,0.0949021
Sensor0,bom,254273,254368,0.0948872
Sensor0,bom,255273,255368,0.0948218
Sensor0,bom,256273,256368,0.0949002
Sensor0,bom,257273,257368,0.0949289
Sensor0,bom,258273,258368,0.0949122
Sensor0,bom,259273,259368,0.0948755
Sensor0,bom,260273,260368,0.0948889
Sensor0,bom,261273,261368,0.0948804
Sensor0,bom,262273,262368,0.0950128
Sensor0,bom,263273,263368,0.0948569
Sensor0,bom,264273,264368,0.0948882
Sensor0,bom,265273,265368,0.094933
Sensor0,bom,266273,266368,0.0950045
Sensor0,bom,267273,267368,0.094934
Sensor0,bom,268273,268368,0.0949307
Sensor0,bom,269273,269368,0.0948788
Sensor0,bom,270273,270368,0.0949109
Sensor0,bom,271273,271368,0.0948957
Sensor0,bom,272273,272368,0.0948523
Sensor0,bom,273273,273368,0.0949248
Sensor0,bom,274273,274368,0.0949694
Sensor0,bom,275273,275368,0.0948711
Sensor0,bom,276273,276368,0.0949498
Sensor0,bom,277273,277368,0.0948514
Sensor0,bom,278273,278368,0.0948544
Sensor0,bom,279273,279368,0.0949414
Sensor0,bom,280273,280368,0.0948318
Sensor0,bom,281273,281368,0.0948959
Sensor0,bom,282273,282368,0.0948812
Sensor0,bom,283273,283368,0.0948588
Sensor0,bom,284273,284368,0.094895
Sensor0,bom,285273,285368,0.0949177
Sensor0,bom,286273,286368,0.0948319
Sensor0,bom,287273,287368,0.0947658
Sensor0,bom,288273,288368,0.0947498
Sensor0,bom,289273,289368,0.0949273
Sensor0,bom,290273,290368,0.0948402
Sensor0,bom,291273,291368,0.0948432
Sensor0,bom,292273,292368,0.0947768
Sensor0,bom,293273,293368,0.0947827
Sensor0,bom,294273,294368,0.0949009
Sensor0,bom,295273,295368,0.0948707
Sensor0,bom,296273,296368,0.0949751
Sensor0,bom,297273,297368,0.0946756
Sensor0,bom,298273,298368,0.0948175
Sensor0,bom,299273,299368,0.0947516
Sensor0,bom,300273,300368,0.0948348
Sensor0,bom,301275,301368,0.0934667
Sensor1,bom,4.07901,4.16824,0.0892255
Sensor1,bom,5.0791,5.16833,0.0892239
Sensor1,bom,6.07893,6.1681,0.0891688
Sensor1,bom,7.07889,7.16827,0.0893807
Sensor1,bom,8.0791,8.16817,0.0890668
Sensor1,bom,9.07921,9.1682,0.0889902
Sensor1,bom,10.0791,10.1682,0.0890545
Sensor1,bom,11.0791,11.1682,0.0890471
Sensor1,bom,12.0791,12.1682,0.0890561
Sensor1,bom,13.0792,13.1681,0.0889427
Sensor1,bom,14079,14.1681,0.0890865
Sensor1,bom,15.0789,15.1682,0.0892855
Sensor1,bom,16.0791,16.1687,0.0896792
Sensor1,bom,17079,17.1682,0.0891123
Sensor1,bom,18.0792,18.1681,0.0888933
Sensor1,bom,19.0791,19.1682,0.0890596
Sensor1,bom,20.0792,20.1682,0.0889448
Sensor1,bom,21.0791,21.1681,0.0890891
Sensor1,bom,22079,22.1681,0.0890483
Sensor1,bom,23.0789,23.1681,0.0892013
Sensor1,bom,24.0791,24.1682,0.0890248
Sensor1,bom,25.0792,25.1682,0.0889906
Sensor1,bom,26.0791,26.1682,0.0890902
Sensor1,bom,27.0791,27.1681,0.0890703
Sensor1,bom,28079,28.1681,0.089112
Sensor1,bom,29.0791,29.1682,0.0890992
Sensor1,bom,30079,30.1681,0.0891064
Sensor1,bom,31079,31168,0.0890646
Sensor1,bom,32.0789,32.1682,0.0892805
Sensor1,bom,33.0792,33.1682,0.088998
Sensor1,bom,34.0792,34.1682,0.0890014
Sensor1,bom,35.0791,35.1682,0.0890749
Sensor1,bom,36.0791,36.1682,0.0890362
Sensor1,bom,37.0791,37.1682,0.0890987
Sensor1,bom,38079,38.1681,0.0890814
Sensor1,bom,39.0789,39.1681,0.0891933
Sensor1,bom,40079,40.1682,0.0891821
Sensor1,bom,41.0791,41.1682,0.0891
Sensor1,bom,42079,42.1681,0.0890935
Sensor1,bom,43.0791,43.1682,0.0891064
Sensor1,bom,44.0791,44.1681,0.0890019
Sensor1,bom,45.0791,45.1682,0.0890966
Sensor1,bom,46079,46.1681,0.0890549
Sensor1,bom,47.0789,47.1681,0.0891612
Sensor1,bom,48079,48.1681,0.089135
Sensor1,bom,49.0792,49.1681,0.0889619
Sensor1,bom,50079,50.1681,0.0890899
Sensor1,bom,51079,51.1681,0.0890899
Sensor1,bom,52079,52.1681,0.0890996
Sensor1,bom,53.0792,53.1682,0.0889791
Sensor1,bom,54.0791,54.1681,0.0889897
Sensor1,bom,55.0791,55.1681,0.0890171
Sensor1,bom,56079,56.1682,0.0891884
Sensor1,bom,57.0791,57.1682,0.0891012
Sensor1,bom,58.0791,58.1682,0.0890441
